id,sloka,translation
1,cinmayasyādvitīyasya niṣkalasyāśarīriṇaḥ | upāsakānāṃ kāryārthe brahmaṇo rūpakalpanā ||,"For the worshippers, in determining the form of the undivided, bodiless, and unique consciousness, what is to be contemplated?"
2,devebhyaḥ svāhākāra ā kāṣṭhāt,"From the sacrificial post to the gods , the exclamation ""svāhā!"" is offered."
3,tasmādapaḥ sambharati tasmāddhiraṇyaṃ sambharati taddyāvāpṛthivyo rasena samardhayati tasmādūṣāntsambharati tasmādākhukarīṣaṃ sambharati,"Therefore, it nourishes the waters, therefore it enriches the sky and the earth with its essence, therefore it strengthens herbs with moisture, therefore it fills the spaces in-between with vitality."
4,kṛttikāsu rohiṇyāṃ mṛgaśirasi phalgunīṣu viśākhayoruttarayoḥ proṣṭhapadayoḥ ||,"During the full moon of Rohini, Mrigashirsha, Phalguna, and the upper limbs of Vishakha."
5,kṛttikāsu brāhmaṇa ādadhīta mukhyo brahmavarcasī bhavati gṛhāṃstasyāgnirdāhuko bhavati ||,"In the constellation of Kritika, a Brahmin who has thoroughly studied the Vedas becomes the primary source of spiritual illumination; he becomes like a domestic fire."
6,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are spring, summer, and the rains; those deities are autumn and late winter, and these [two] are the fatherly ones in the cold season."
7,rātriṃ jāgaraṇadhāraṇe śakalairvā,"During the entire night, (one) should engage in remaining awake for vigil."
8,śamīgarbhādagniṃ manthati | eṣā vā agneryajñiyā tanūḥ |,"From the seed of a śamī tree, fire is churned. This is indeed the sacrificial form of fire itself."
9,sa bhūrbhuva ityetaistribhirakṣarairgārhapatyamādadhāti dve pariśinaṣṭyayātayāmatāyai,"With these three syllables ""bhūr, bhuvaḥ, iti,"" [the priest] establishes the sacrificial fire, protecting it from going out too soon or too late."
10,yo aśvatthaḥ śamīgarbha āruroha tvesacā | taṃ tvāharāmi brahmaṇā yajñiyaiḥ ketubhiḥ saheti pūrṇāhutyantamagnyādheyaṃ,"I will now offer with fire, along with oblations and sacrificial rituals (yajñiyaiḥ ketubhiḥ saha), the ashvattha tree that arises from śamī's womb, as I am capable of doing so with my brahmanical powers (brahmaṇā āharāmi) before the fully accomplished agnyādheya sacrifice (pūrṇāhutyantam)."
