id,sloka,translation
1,cinmayasyādvitīyasya niṣkalasyāśarīriṇaḥ | upāsakānāṃ kāryārthe brahmaṇo rūpakalpanā ||,"For the worshippers, what is to be contemplated in determining the form of the undivided, bodiless consciousness that is uniquely characterized as conscious?"
2,devebhyaḥ svāhākāra ā kāṣṭhāt,"From the sacrificial post, offerings are made to the gods with the exclamation ""svāhā!"""
3,tasmādapaḥ sambharati tasmāddhiraṇyaṃ sambharati taddyāvāpṛthivyo rasena samardhayati tasmādūṣāntsambharati tasmādākhukarīṣaṃ sambharati,"Therefore, it (the rain) is nourishing from it the waters, enriching the sky and earth with its essence, strengthening herbs with moisture, and filling the interspaces with vitality."
4,kṛttikāsu rohiṇyāṃ mṛgaśirasi phalgunīṣu viśākhayoruttarayoḥ proṣṭhapadayoḥ ||,"During the full moon in Rohini, Mrigashirsha, Phalguna, as well as the northern branch of Vishakha."
5,kṛttikāsu brāhmaṇa ādadhīta mukhyo brahmavarcasī bhavati gṛhāṃstasyāgnirdāhuko bhavati ||,"In the Kritika constellation, a Brahmin who thoroughly studies the Vedas becomes the chief dispenser of spiritual illumination; he becomes like a household fire."
6,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are spring (vasantaḥ), summer (grīṣmaḥ), and the rains (varṣāḥ). These two (te) - autumn (śarat) and late winter (hemantaḥ) - are the deities (devau). The cold season is characterized by them. The fatherly ones (pitaraḥ) are these very seasons."
7,rātriṃ jāgaraṇadhāraṇe śakalairvā,"During nighttime, one should engage in remaining awake for vigil with all (his) senses."
8,śamīgarbhādagniṃ manthati | eṣā vā agneryajñiyā tanūḥ |,"The fire is being churned from the seed of a śamī tree. Indeed, this is the very form of fire used in sacrifices."
9,sa bhūrbhuva ityetaistribhirakṣarairgārhapatyamādadhāti dve pariśinaṣṭyayātayāmatāyai,"With the three syllables ""bhūr, bhuvaḥ, iti,"" he, the officiating priest, establishes the sacrificial fire, protecting it from extinction too soon or being kept alive too long, while also ensuring it is properly maintained."
10,yo aśvatthaḥ śamīgarbha āruroha tvesacā | taṃ tvāharāmi brahmaṇā yajñiyaiḥ ketubhiḥ saheti pūrṇāhutyantamagnyādheyaṃ,"I now offer up the ashvattha tree, which has sprouted from the womb of the shrub called shamii, with fire, accompanied by oblations and sacrificial rituals, as I am capable of doing so with my brahmanical powers before the fully accomplished agnyādheya sacrifice."
11,punarādheyamādhānā'pratijñātasya rājyayaśaskāmasya vā trirātrāvaramagnīnutsṛjya sadyo vā punarvasvoḥ varṣāsu madhyandine vā kuśairādhānam vrīhyapūpamarkapalāśayoḥ pakvaṃ gārhapatyasthāne nidadhātyevamāhamanīyasya yāvaṃ sadyaścet,"After extinguishing the fire, kindled three nights prior, either immediately during a rain shower or at once, one should establish anew, in the gārhapatya fire, during midday, the ripened piles of rice, barley, and darbha grass; this is my command for the worthy, as long as it is feasible."
12,nānāhitāgnirnāyajvā vipro nāpyasahasradaḥ |,"A priest is not one who beneficially tends to fires in various ways, nor one who will cause someone to have a thousand senses."
13,ayajño vā eṣaḥ | yo'patnīkaḥ |,"This very one is an unobservant man, indeed, who is a womanizer."
14,etadvai jarāmaryaṃ satraṃ yadagnihotraṃ jarayā vā hyevāsmānmucyate mṛtyunā vā payasā nityahomaḥ,"Indeed, this is the very ritual, referring to the agnihotra, that liberates us from aging, whether through aging's grasp or through the constant milk oblation; it frees us (agnihotra) from this aging process."
15,yavāgūrodano dadhi samigrāmakāmānnādyakāmendriyakāmatejaskāmānāṃ,"Of yava broth, tears, and curd, what are the objects of desire for one who is devoted to gratifying the various cravings of the sense organs?"
16,dhūmāyantyām grāma kāmasya juhuyāt | jvalantyām brahma varcasa kāmasya | aṅgāreṣu paśu kāmasya |,"During the outbreak of the village fire, one should offer obligations. For it is blazing, possessed of divine radiance; at this time, it is in the cattle and in one's own body parts, as well."
17,jātaṃ vātsapreṇābhimṛśyottareṇa yajuṣopastha ādhāyottarābhyāmābhimantraṇaṃ mūrdhanyavaghrāṇaṃ dakṣiṇe karṇe jāpaḥ sarṣapānphalīkaraṇamiśrānañjalinottaraistristripratisvāhākāraṃ hutvā saṃśāsti praviṣṭe praviṣṭa eva tūṣṇīmagnāvāvapateti,"Having been born, being anointed on the head with clarified butter by the elder sister of the cowherd, after reciting the Yajus formulas, offering oblations mixed with sesame seeds, keeping the hands joined in prayer, remains silent. Once having entered the fire, it/he becomes silent, as if merging into it, in the past tense."
18,athaināmuttarayā dakṣiṇe haste gṛhītvāgnimabhyānīyāpareṇāgnimudagagraṃ kaṭamāstīrya tasminnupaviśata uttaro varaḥ agnerupasamādhānādyājyabhāgānte'thaināmādito dvābhyāmabhimantrayeta,"After taking hold of the fire deity in his right hand and bringing it to the southern side, having kindled it by placing it on a suitable support, he should make the initial oblations. Then, after making an exception for the final oblation, he should invoke the fire deity twice with mantras."
19,sāyaṃsāyaṃ gṛhapatirno agniḥ prātaḥprātaḥ saumanasasya dātā | vasorvasorvasudāna edhi vayaṃ tvendhānāstanvaṃ puṣema || prātaḥprātargṛhapatirno agniḥ sāyaṃsāyaṃ saumanasasya dātā | vasorvasorvasudāna edhīndhānāstvā śataṃhimā ṛdhema ||,"At dawn, the householder is indeed never without the fire, while in the evening he becomes the giver of comfort. Let us nourish our bodies and sustenance at both times. Similarly, in the morning, the householder is never without the fire, and in the evening, he becomes the giver of comfort. May we be endowed with a hundred measures of vigor and strength at all times."
20,sa yatsāyamastamite dve'āhutī juhoti | tadetābhyāṃ pūrvābhyāṃ padbhyāmetasminmṛtyau pratitiṣṭhattyatha yatprātaranudite dve'āhutī juhoti tadetābhyāmaparābhyāṃ padbhyāmetasminmṛtyau pratitiṣṭhati sa'enameṣa'udyannevā''dāyodeti tadetaṃ mṛtyumatimucyate,"The one who currently offers, at sandhyakaal (dusk and dawn), two oblations while reciting the sāyaṃ mantra, stands firm in this and the subsequent death. Likewise, the one who offers, at sandhyakaal, two oblations while reciting the prātaḥ mantra, stands firm in this and the future death. This practice, known as udandani, frees one from a premature death."
21,tadyatheṣīkātūlamagnau protaṃ pradūyetaiv~ hāsya sarve pāpmānaḥ pradūyante ya etadevaṃ vidvānagnihotraṃ juhoti ||,"Upon performing the agnihotra ritual, the wise person rejects this very fuel that splutters at the initial lighting, for all sinful ones indeed despise this very act of ignorance."
22,vasanti prāṇino yatra |,Where living beings reside.
23,karṇaśrave'nile rātrau divā pāṃsusamūhane | etau varṣāsvanadhyāyāvadhyāyajñāḥ pracakṣate,"During nighttime, referred to as ""Karna-shravani,"" and during daytime, at the occurrence of dust storms, these two are recognized as the recitation and study of the rains, respectively."
24,vidyutstanitavarṣeṣu maholkānāṃ ca saṃplave | ākālikam anadhyām eteṣu manurabravīt etāṃstvabhyuditānvidyādyadā prāduṣkṛtāgniṣu | tadā vidyādanadhyāyam anṛtau cābhradarśane,"Manu, in reference to the knowledge that becomes manifest when lightning illuminates the sky during the rainfall of great meteors, spoke these words: ""One should study it thoroughly at both dawn and dusk, especially after fire rituals have been performed and clouds are present."" This was instructed regarding the knowledge that becomes revealed in the lightning flashes during such rainfalls."
