id,sloka,translation
1,cinmayasyādvitīyasya niṣkalasyāśarīriṇaḥ | upāsakānāṃ kāryārthe brahmaṇo rūpakalpanā ||,"Of the matchless, uniquely pure consciousness and the indivisible, bodiless one, envisioning the material form is the designated duty of Buddhist lay worshippers for a specific purpose related to the possession of sacred knowledge by the class of men who are its repositories and communicators."
2,devebhyaḥ svāhākāra ā kāṣṭhāt,"Derived from the very essence of divine beings and indicating supreme excellence, (we know) the exclamation ""svāhā"" (to be coming) from a tree."
3,tasmādapaḥ sambharati tasmāddhiraṇyaṃ sambharati taddyāvāpṛthivyo rasena samardhayati tasmādūṣāntsambharati tasmādākhukarīṣaṃ sambharati,"Consequently, it (Agni) enriches many glorious waters through the sacrificial act; similarly, it enhances the earth with its sap or juice. Furthermore, it causes the extremities to be nourished and is also responsible for nourishing the plants, specifically the grass Lipeocercis Serrata, that grow from the earth."
4,kṛttikāsu rohiṇyāṃ mṛgaśirasi phalgunīṣu viśākhayoruttarayoḥ proṣṭhapadayoḥ ||,"At Rohini's location, on Mriga's district, under Phalguni's birthstar, at Uttara's latter part's heads, and Viśākhā's location, respectively."
5,kṛttikāsu brāhmaṇa ādadhīta mukhyo brahmavarcasī bhavati gṛhāṃstasyāgnirdāhuko bhavati ||,"If in the Krittikas constellation a brahmin undertakes to study the preeminent knowledge of the Brahman, he becomes revered and his household becomes a site for sacrificial fires."
6,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are equally referred to as spring, summer, and the rains falling in some places during Śrāvaṇa and Bhādra, while autumn and winter are known as the cool or dewy season and the cold season respectively; they are called the fatherly ones."
7,rātriṃ jāgaraṇadhāraṇe śakalairvā,"""In the nighttime, (through) maintaining wakefulness, with all (people), potentially even (including doing so) through the skull?"""
8,śamīgarbhādagniṃ manthati | eṣā vā agneryajñiyā tanūḥ |,"The core of Prosopis Spicigera or Mimosa Suma is being ignited by rapid friction. Indeed, these are the forms belonging to the sacrificial fire."
9,sa bhūrbhuva ityetaistribhirakṣarairgārhapatyamādadhāti dve pariśinaṣṭyayātayāmatāyai,"Brahma, with the sacrificial fire symbolized by the three syllables ""bhūrbhuva,"" nurtures and endows the household fire, ensuring its continuous functioning. Causing two entities to approach and move away, he does so with great care and attention, even soliciting the presence of the divine entity named Matāyai."
10,yo aśvatthaḥ śamīgarbha āruroha tvesacā | taṃ tvāharāmi brahmaṇā yajñiyaiḥ ketubhiḥ saheti pūrṇāhutyantamagnyādheyaṃ,"I now offer the holy ashvattha tree, which arose from a shami tree's seed and resides in the adytum, to Brahma through complete oblations and red apparitions, praying ""may it be unto you."""
11,punarādheyamādhānā'pratijñātasya rājyayaśaskāmasya vā trirātrāvaramagnīnutsṛjya sadyo vā punarvasvoḥ varṣāsu madhyandine vā kuśairādhānam vrīhyapūpamarkapalāśayoḥ pakvaṃ gārhapatyasthāne nidadhātyevamāhamanīyasya yāvaṃ sadyaścet,"Once more, for one who hasn't previously pledged but intends to prepare for rulership, if they were to abandon the irresistible fires after three nights and days, or immediately during the monsoon season, and establish ripened offerings of barley and rice on sacred grass in the householders' fire - this is what I will do for such a deserving one."
12,nānāhitāgnirnāyajvā vipro nāpyasahasradaḥ |,"""Aren't some fires impelled by mankind beneficial, learned one, and will those that give a thousand streams not fall short of being able to satisfy?"""
13,ayajño vā eṣaḥ | yo'patnīkaḥ |,"""Indeed, this denotes an individual who is irreligious, having not performed sacred rites, or one who disregards his wife."""
14,etadvai jarāmaryaṃ satraṃ yadagnihotraṃ jarayā vā hyevāsmānmucyate mṛtyunā vā payasā nityahomaḥ,"Indeed, this is the great Soma sacrifice, known as Agnihotra, that liberates us from becoming old, whether due to natural aging or through death, by means of the constant oblation of semen virile (a metaphor for a sacred fluid) and ghee."
15,yavāgūrodano dadhi samigrāmakāmānnādyakāmendriyakāmatejaskāmānāṃ,The tears of the individual who has recently consumed rice-gruel are directed toward the curd pot.
16,dhūmāyantyām grāma kāmasya juhuyāt | jvalantyām brahma varcasa kāmasya | aṅgāreṣu paśu kāmasya |,"In the final moments of the hamlet, one should offer oblations to the rising smoke; desiring the brilliance of the Brahman, should attend to it in living beings."
17,jātaṃ vātsapreṇābhimṛśyottareṇa yajuṣopastha ādhāyottarābhyāmābhimantraṇaṃ mūrdhanyavaghrāṇaṃ dakṣiṇe karṇe jāpaḥ sarṣapānphalīkaraṇamiśrānañjalinottaraistristripratisvāhākāraṃ hutvā saṃśāsti praviṣṭe praviṣṭa eva tūṣṇīmagnāvāvapateti,"Once brought into existence, touch (the newborn) with the upper part of a cow's tail, reciting the yajuṣ mantras over it. Placing it on the infant's head, make him/her silent by chanting the japa mantra in the right ear. After performing these rituals, become still and silently observe the entry of the new soul into this world."
18,athaināmuttarayā dakṣiṇe haste gṛhītvāgnimabhyānīyāpareṇāgnimudagagraṃ kaṭamāstīrya tasminnupaviśata uttaro varaḥ agnerupasamādhānādyājyabhāgānte'thaināmādito dvābhyāmabhimantrayeta,"After taking the firewood in the right hand, making the southern part of the altar and setting the turf thereon with its top facing east, kindling the fire, and completing the final oblations, one should then cause the recitation of the Savitri formula twice, using ""svaha"" and ""idam"" respectively."
19,sāyaṃsāyaṃ gṛhapatirno agniḥ prātaḥprātaḥ saumanasasya dātā | vasorvasorvasudāna edhi vayaṃ tvendhānāstanvaṃ puṣema || prātaḥprātargṛhapatirno agniḥ sāyaṃsāyaṃ saumanasasya dātā | vasorvasorvasudāna edhīndhānāstvā śataṃhimā ṛdhema ||,"At daybreak, the householder, offering oblations to the fire, personifying the morning, becomes the giver of wealth. Similarly, at evening, the householder, as the benefactor of cheerfulness, tends to the fire. We both, fulfilling our respective duties, should nurture this mutual prosperity. Let us both, being diligent and fervent in our tasks, bring about a hundredfold increase."
20,sa yatsāyamastamite dve'āhutī juhoti | tadetābhyāṃ pūrvābhyāṃ padbhyāmetasminmṛtyau pratitiṣṭhattyatha yatprātaranudite dve'āhutī juhoti tadetābhyāmaparābhyāṃ padbhyāmetasminmṛtyau pratitiṣṭhati sa'enameṣa'udyannevā''dāyodeti tadetaṃ mṛtyumatimucyate,"The one who, at daybreak and at the close of day, offers the two oblations, does so with these initial two steps during the transition to the afterlife. Likewise, the one who performs the two oblations in the morning and afternoon remains steadfast during this transition. This practice is referred to as the awakening, through which liberation from the bondage of impending death is achieved."
21,tadyatheṣīkātūlamagnau protaṃ pradūyetaiv~ hāsya sarve pāpmānaḥ pradūyante ya etadevaṃ vidvānagnihotraṃ juhoti ||,"The one, knowing this completely, causes the fuel of attachment to be consumed in the fire of discrimination and thereby makes all sinful tendencies vanish. Such a learned person performs the agnihotra sacrifice."
22,vasanti prāṇino yatra |,In that location where living beings abide/continue to reside.
23,karṇaśrave'nile rātrau divā pāṃsusamūhane | etau varṣāsvanadhyāyāvadhyāyajñāḥ pracakṣate,"During the stillness of night and by day, as the pollen gathers during the rains of Śrāvaṇa and Bhādra, these two - the non-recitation and study - are indicated to be performed excessively in the future as those that are to be carried out in the rainy season."
24,vidyutstanitavarṣeṣu maholkānāṃ ca saṃplave | ākālikam anadhyām eteṣu manurabravīt etāṃstvabhyuditānvidyādyadā prāduṣkṛtāgniṣu | tadā vidyādanadhyāyam anṛtau cābhradarśane,"""During the occurrence of lightning storms and meteor showers, Manu proclaimed that these ancient sciences should be studied uninterruptedly. He declared that they must be continuously cultivated, even during the extinction of fires in eclipses, as well as in the periods devoid of rainfall and clear skies, at the presence of thunder-clouds."""
