id,sloka,translation
1,cinmayasyādvitīyasya niṣkalasyāśarīriṇaḥ | upāsakānāṃ kāryārthe brahmaṇo rūpakalpanā ||,"For the form conception of the indivisible, unique, and immaterial Brahman, it is the duty of the seekers (to do so) for achieving their purpose."
2,devebhyaḥ svāhākāra ā kāṣṭhāt,"The exclamation ""svāhā"" is offered to the gods, [it comes] from a stick."
3,tasmādapaḥ sambharati tasmāddhiraṇyaṃ sambharati taddyāvāpṛthivyo rasena samardhayati tasmādūṣāntsambharati tasmādākhukarīṣaṃ sambharati,"Therefore, the mouth prepares itself, therefore the senses prepare themselves, therefore the earth enhances its taste, therefore the boundaries (of the self) prepare themselves, therefore the eating of grains and vegetables is prepared."
4,kṛttikāsu rohiṇyāṃ mṛgaśirasi phalgunīṣu viśākhayoruttarayoḥ proṣṭhapadayoḥ ||,"In Rohini, Mrigashirsha, Phalguni, Hasta, and the first parts of Uttara Phalguni and Uttara Ashada."
5,kṛttikāsu brāhmaṇa ādadhīta mukhyo brahmavarcasī bhavati gṛhāṃstasyāgnirdāhuko bhavati ||,"When a brahmin studies the sacred scriptures in the constellation of Kritika, he becomes the foremost radiant source of that knowledge and turns his home into a spiritual fire for others."
6,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"Vasanto, Grishma, Varsha, and Sh Sharat and Hemant are the seasons, while Pitarah are the months."
7,rātriṃ jāgaraṇadhāraṇe śakalairvā,Engaging in wakefulness and sleep throughout the night.
8,śamīgarbhādagniṃ manthati | eṣā vā agneryajñiyā tanūḥ |,This is the wood-born form of Agni that is being churned (by the gods). This indeed is the sacrificial form of Agni.
9,sa bhūrbhuva ityetaistribhirakṣarairgārhapatyamādadhāti dve pariśinaṣṭyayātayāmatāyai,"With the three sacred syllables ""sa bhūrbhuva,"" the Gārhapatya fire is kindled and maintained for the ritual purpose of offering oblations to the gods, ensuring its protection from any harm or interruption."
10,yo aśvatthaḥ śamīgarbha āruroha tvesacā | taṃ tvāharāmi brahmaṇā yajñiyaiḥ ketubhiḥ saheti pūrṇāhutyantamagnyādheyaṃ,"I now offer with sacred verses and oblations, the ashvattha tree that grows from a sami seed, having taken root in a impassioned manner."
11,punarādheyamādhānā'pratijñātasya rājyayaśaskāmasya vā trirātrāvaramagnīnutsṛjya sadyo vā punarvasvoḥ varṣāsu madhyandine vā kuśairādhānam vrīhyapūpamarkapalāśayoḥ pakvaṃ gārhapatyasthāne nidadhātyevamāhamanīyasya yāvaṃ sadyaścet,"Of the one who has previously abandoned his duty towards his kingdom or subjects, without making a promise to return, he should immediately, at midday, make an offering with Kuśa grass and ripe paddy or barley grains in the Gārhapatya fire, as much as he deems fit for himself."
12,nānāhitāgnirnāyajvā vipro nāpyasahasradaḥ |,A Brahmin is not one who merely lights many fires or performs numerous sacrifices.
13,ayajño vā eṣaḥ | yo'patnīkaḥ |,This is indeed an unlearned person who shares his wife (with others).
14,etadvai jarāmaryaṃ satraṃ yadagnihotraṃ jarayā vā hyevāsmānmucyate mṛtyunā vā payasā nityahomaḥ,"This indeed is the ""satra"" (group gathering for religious study and meal) known as the agnihotra, which frees one from decay and death, either through the consumption of ghee or through constant performance."
15,yavāgūrodano dadhi samigrāmakāmānnādyakāmendriyakāmatejaskāmānāṃ,"For those who desire sense gratification, the cravings of the palate, such as that for freshly cooked rice and yogurt, are indeed the cause."
16,dhūmāyantyām grāma kāmasya juhuyāt | jvalantyām brahma varcasa kāmasya | aṅgāreṣu paśu kāmasya |,"In the smoldering fire, he should offer an oblation, the one who desires prosperity in the village; in the blazing fire of divine knowledge, he should offer an oblation, the one who desires prosperity through the herd."
17,jātaṃ vātsapreṇābhimṛśyottareṇa yajuṣopastha ādhāyottarābhyāmābhimantraṇaṃ mūrdhanyavaghrāṇaṃ dakṣiṇe karṇe jāpaḥ sarṣapānphalīkaraṇamiśrānañjalinottaraistristripratisvāhākāraṃ hutvā saṃśāsti praviṣṭe praviṣṭa eva tūṣṇīmagnāvāvapateti,"Having established the fire (agni) by rubbing two pieces of wood together, after placing the sacrificial ladle and making offerings into it, one should whisper prayers over the head. After muttering mantras into the right ear, having performed the ritual with mustard seeds mixed with water in joined palms, once entered (the state of meditation), one should remain still and calm down."
18,athaināmuttarayā dakṣiṇe haste gṛhītvāgnimabhyānīyāpareṇāgnimudagagraṃ kaṭamāstīrya tasminnupaviśata uttaro varaḥ agnerupasamādhānādyājyabhāgānte'thaināmādito dvābhyāmabhimantrayeta,"Having taken with his left hand the oblations in the southern handful, having carefully placed the lower end of the stick facing downward, having seated himself, he should first offer the oblations to the fire. Then, after completing the additional ritual procedures, he should initiate the dismissal of the fire-god with these two mantras."
19,sāyaṃsāyaṃ gṛhapatirno agniḥ prātaḥprātaḥ saumanasasya dātā | vasorvasorvasudāna edhi vayaṃ tvendhānāstanvaṃ puṣema || prātaḥprātargṛhapatirno agniḥ sāyaṃsāyaṃ saumanasasya dātā | vasorvasorvasudāna edhīndhānāstvā śataṃhimā ṛdhema ||,"In the morning, there is no householder equal to fire, the giver of warmth; in the evening, equally, the giver of happiness. Prepare the fuel for us, we will nourish you abundantly.
In the evening, there is no householder equal to fire, the giver of happiness; in the morning, equally, the giver of warmth. Prepare the fuel for it, may it thrive a hundredfold."
