id,sloka,translation
1,चिन्मयस्याद्वितीयस्य निष्कलस्याशरीरिणः । उपासकानां कार्यार्थे ब्रह्मणो रूपकल्पना ॥,"Somewhere in the remote past the religious outlook, rituals and the sacred Yajnas of the vedic period were gradually supplemented by worship through images. The abstract symbolism of the Yajna, was generally replaced by the Puja of images and the concept is called Vigraharadhana ."
2,देवेभ्यः स्वाहाकार आ काष्ठात्,According to Dharmasutras Devayajna consisted of putting into fire offerings with ' svaha' uttered after the name of the deities in the dative case
3,तस्मादपः सम्भरति तस्माद्धिरण्यं सम्भरति तद्द्यावापृथिव्यो रसेन समर्धयति तस्मादूषान्त्सम्भरति तस्मादाखुकरीषं सम्भरति,"He who is to perform the installation of the sacred Agnis gathers the requisite materials. He collects water, gold, salts, earth , pebbles. Each of these have their significance which is explained therein. The place where the fires are to be installed are cleaned and sprinkled with water. Water is verily food, as where water is present it flourishes with food. Gold makes the fire grow with splendour, for gold is indeed the seed of fire. Salt is considered the essence of Dyava and Prithvi, and when offered it makes the fire prosper with their essence. Where there is saltish ground they declare it fit for cattle. The earth collected from a mole hill enriches the fire with the essence of the earth. The earth is made firm and steady by the fixing of pebbles just as one would spread out a hide with pins. In this manner, the yajamana keeps away his inimical rivals by making this ground firm and steady and by installing the fires on it."
4,कृत्तिकासु रोहिण्यां मृगशिरसि फल्गुनीषु विशाखयोरुत्तरयोः प्रोष्ठपदयोः ॥,"This ceremony is to be performed when chandra is situated in certain nakshatras. Krittika, Rohini, Mrgasira, Phalguni , Vishakha and Hasta, Chitta stars are preferred according to different Shrauta sutras."
5,कृत्तिकासु ब्राह्मण आदधीत मुख्यो ब्रह्मवर्चसी भवति गृहांस्तस्याग्निर्दाहुको भवति ॥,Kanvasatapatha brahmana instructs that the installation of Agni under the constellation of Krittika is preferred as Krittika is verily the star of Agni.
6,वसन्तो ग्रीष्मो वर्षाः । ते देवा ऋतवः शरद्धेमन्तः शिशिरस्ते पितरो य,"The people of different sections are advised to establish fire in different seasons, however, they may establish in any season as performing homa is more important than waiting for the appropriate time because a person may die at any time and instead of waiting for right time it is better to establish the fires."
7,रात्रिं जागरणधारणे शकलैर्वा,"On the Upavastha day , the yajamana prepares himself by taking the purificatory bath, achamana , and Punyahavachana. He then takes his seat along with his wife on the darbha grass and pronounces his will to set up the sacred agnis, formally announces his rtviks and honours them by offering Madhuparka . He fasts through the day and remains awake the whole night tending to the fire by adding samidhas."
8,शमीगर्भादग्निं मन्थति । एषा वा अग्नेर्यज्ञिया तनूः ।,The stick on top called the Uttara-arani is called Pururavas and the lower arani called as Aadhara-arani is called Urvasi . The rope used for manthana is called rasanaa. The process of generating fire is also described in various Shrauta sutra texts apart from Taittriya Brahmana in the under prapathaka .
9,स भूर्भुव इत्येतैस्त्रिभिरक्षरैर्गार्हपत्यमादधाति द्वे परिशिनष्ट्ययातयामतायै,"While chanting the mantras, Adhvaryu establishes the Garhapatya Agni on the dried cow dung cakes and places some darbha around it. . According to Kanva Shatapatha BrahmanaSummary: He installs the Garhapatya with the these three syllables Bhurbhuvah."
10,यो अश्वत्थः शमीगर्भ आरुरोह त्वेसचा । तं त्वाहरामि ब्रह्मणा यज्ञियैः केतुभिः सहेति पूर्णाहुत्यन्तमग्न्याधेयं,Thus the process starts with the collection of Arani and ends with Purnahuti.
