id,sloka,translation
1,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are Vasanta (spring), Grishma (summer), and Varsha (monsoon); these two, the Devas (gods), are Sharat (autumn) and Hemanta (late autumn); and those are the Pittaras (ancestors), the cool season Sisira."
2,yavāgūrodano dadhi samigrāmakāmānnādyakāmendriyakāmatejaskāmānāṃ,The tears of the one who is fond of worldly pleasures and desires milk.
3,tadyatheṣīkātūlamagnau protaṃ pradūyetaiv~ hāsya sarve pāpmānaḥ pradūyante ya etadevaṃ vidvānagnihotraṃ juhoti ||,"The one who knows this (the firewood) made of the dry sacred fig tree, at first laughs off (the idea), but once he comes to understand (the true significance), all sinful people denounce him. He who performs the agnihotra (fire sacrifice) knowing this."
4,yatheha kṣudhitā bālā mātaraṃ paryupāsate | ev~ sarvāṇi bhūtānyagnihotramupāsata ityagnihotramupāsata iti ||,"In the same way that a hungry child serves his mother, one should worship all beings as Agnihotra. (This is the repeated instruction.)"
5,agnayo vai trayī vidyā devayānaḥ panthā gārhapatya ṛk pṛthivī rathantaramanvāhāryapacanaḥ yajurantarikṣaṃ vāmadevyamāhavanīyaḥ sāma suvargo loko bṛhattasmādagnīn paramaṃ vadanti || ||,"The threefold knowledge is called Agni's path, the fire of the household is Ṛk, the earth is the fuel carrier, while Manavantara-Rathantara is the oblation for the air, and Vāmadeva is the oblation for the sky. They say that the Sāma is the way to heaven, hence Agni is considered supreme."
6,agnihotra~ sāyaṃ prātargṛhāṇāṃ niṣkṛtiḥ sviṣṭa~ suhutaṃ yajñakratūnāṃ prāyaṇa~ suvargasya lokasya jyotistasmādagnihotra~ paramaṃ vadanti ||,The twilight oblation is called the finest because it marks the end of the rituals of the household fires and is the illumination for the path to heaven for those who perform sacrifices .
7,vasanti prāṇino yatra |,Where living beings reside.
8,tataḥ tu irāvatīm nāma jajñe bhadramadā sutām | tasyāḥ tu airāvataḥ putro lokanātho mahāgajaḥ ||,"Then was born Irāvatī, Bhadra's daughter. Her son was Airāvata, the protector of the world, a great elephant."
9,cāturvarṇyaṃ mayā sṛṣṭaṃ guṇakarmavibhāgaśaḥ | tasya kartāramapi māṃ viddhyakartāramavyayam ||,"I, as the creator, have established the four-varnas based on qualities and actions. Understand me to be the eternal doer and non-doer of this."
10,eṣāmutpattyādiryathā yadā bhagavān puruṣarūpeṇa sṛṣṭiṃ kṛtavān tadāsyaśarīrāt catvāro varṇā utpannāḥ mukhato brāhmaṇāḥ bāhutaḥ kṣatriyāḥ ūruto vaiśyāḥ pādataḥ śūdrā jātāḥ,"When the Lord in his cosmic form brought about creation, then from him emerged, in order, four varnas (social classes) from his mouth were the brahmins, from his arms the kshatriyas, from his thighs the vaishyas, and from his feet the shudras."
