id,sloka,translation
1,वसन्तो ग्रीष्मो वर्षाः । ते देवा ऋतवः शरद्धेमन्तः शिशिरस्ते पितरो य,"Vasanta Grishma and Varsha - these are the seasons of devatas. Sharad , Hemanta and Shishira are the seasons for pitrus ."
2,यवागूरोदनो दधि समिग्रामकामान्नाद्यकामेन्द्रियकामतेजस्कामानां,"Yavaagu is offered for acquiring leadership over villages, and curd is offered for attaining strength .
In Kamya Agnihotra, special ahutis are made and offered specific for the objects desired, at different times, in different burning stages of the established fire."
3,तद्यथेषीकातूलमग्नौ प्रोतं प्रदूयेतैव्ँ हास्य सर्वे पाप्मानः प्रदूयन्ते य एतदेवं विद्वानग्निहोत्रं जुहोति ॥,"Just as the Ishika reed would burn, when thrown into the fire, so also would the evils of one knowing this offers the Agnihotra."
4,यथेह क्षुधिता बाला मातरं पर्युपासते । एव्ँ सर्वाणि भूतान्यग्निहोत्रमुपासत इत्यग्निहोत्रमुपासत इति ॥,"Just as the hungry children wait for the mother, so also all beings wait for the Agnihotra, indeed!"
5,अग्नयो वै त्रयी विद्या देवयानः पन्था गार्हपत्य ऋक् पृथिवी रथन्तरमन्वाहार्यपचनः यजुरन्तरिक्षं वामदेव्यमाहवनीयः साम सुवर्गो लोको बृहत्तस्मादग्नीन् परमं वदन्ति ॥ ॥,The great yajnika fires are indeed the threefold knowledge and path leading to realm of the devatas ....
6,अग्निहोत्रँ सायं प्रातर्गृहाणां निष्कृतिः स्विष्टँ सुहुतं यज्ञक्रतूनां प्रायणँ सुवर्गस्य लोकस्य ज्योतिस्तस्मादग्निहोत्रँ परमं वदन्ति ॥,The performance of Agnihotra at dawn and sunset is an expiation sins incidental to housekeeping. It is a good yaga and homa and a commencement of all yajnas and kratus. It is a beacon to the heavenly worlds. Thus they say Agnihotra is the supreme means of liberation.
7,वसन्ति प्राणिनो यत्र ।,Where living things reside.
8,ततः तु इरावतीम् नाम जज्ञे भद्रमदा सुताम् । तस्याः तु ऐरावतः पुत्रो लोकनाथो महागजः ॥,"They were: Mrgi, Mrgamada, Hari, Bhadramada., Matangi, Shardule, Sveta, Surabhi, Surasa and Kadruka. Of them Bhadramada gave birth to a daughter, Iravati. Airavata the large elephant is Iravati's son."
9,चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागशः । तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् ॥,"The four varnas were emanated by Me, by the different distribution of qualities and actions. Know Me to be the creator of them, though actionless and inexhaustible."
10,एषामुत्पत्त्यादिर्यथा यदा भगवान् पुरुषरूपेण सृष्टिं कृतवान् तदास्यशरीरात् चत्वारो वर्णा उत्पन्नाः मुखतो ब्राह्मणाः बाहुतः क्षत्रियाः ऊरुतो वैश्याः पादतः शूद्रा जाताः,"When Bhagavan created the world in the form of Purusha, the four varnas got created from his body. From the mouth - the brahmanas, from the arm - the kshatriyas, from the thigh - the vaishyas and from the feet - the Shudras were born.
This concept is first found in verse 12 of the Purusha Sukta in the Rgveda . It says,"
11,ब्राह्मणोऽस्य मुखमासीद्बाहू राजन्यः कृतः । ऊरू तदस्य यद्वैश्यः पद्भ्यां शूद्रो अजायत ॥,The Brahmana was His mouth
12,आश्रमः शास्त्रोक्त धर्म्मविशेषः। आश्राम्यन्ति स्वं स्वं तपश्चरन्त्यत्र । स चतुर्विधः । ब्रह्मचर्य्यं गार्हस्थ्यं वानप्रस्थ्यं सन्न्यासः । इति स्मृतिः ॥ ब्रह्मचारी । गृही । वानप्रस्थः । भिक्षुः । इत्यमरः ॥,Ashrama is a distinguishing feature of Dharma mentioned by Shastras. It refers to 4 stages in life.
13,त्रयो धर्मस्कन्धा यज्ञोऽध्ययनं दानमिति प्रथमस्तप एव द्वितीयो ब्रह्मचार्याचार्यकुलवासी तृतीयोऽत्यन्तमात्मानमाचार्यकुलेऽवसादयन्सर्व एते पुण्यलोका भवन्ति ब्रह्मसँस्थोऽमृतत्वमेति ॥ ॥,"There are three aspects of Dharma. Yajna , study of the vedas and giving gifts form the first aspect. Austerity is the second. Wearing out his life in the household of the preceptor practicing continence is the third. All these lead to the attainment of virtuous worlds. He who is steadfast in Brahman attains immortality."
14,यथा वायुं समाश्रित्य वर्तन्ते सर्वजन्तवः । तथा गृहस्थं आश्रित्य वर्तन्ते सर्व आश्रमाः । । । । यस्मात्त्रयोऽप्याश्रमिणो ज्ञानेनान्नेन चान्वहम् । गृहस्थेनैव धार्यन्ते तस्माज्ज्येष्ठाश्रमो गृही । । । ।,"Just as all Creatures subsist by deriving support from air, so do the other states subsist by deriving support from the Householder. Because men in all the three states are sustained with knowledge and food by householders only, therefore the householders state is the highest state. It is the householder who helps men in other stages of life with knowledge brought about by the expounding of the meaning of the Veda."
