id,sloka,translation
1,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are vasants (spring), grīṣmas (summer), varṣās (monsoons), and those which are sharad (autumn), hemantas (pre-winter), and shishiras (winter); these are the six seasons, known as the offspring of the deities."
2,yavāgūrodano dadhi samigrāmakāmānnādyakāmendriyakāmatejaskāmānāṃ,"Desiring pleasure in sense objects such as tastes in yeast, cream, and yogurt."
3,tadyatheṣīkātūlamagnau protaṃ pradūyetaiv~ hāsya sarve pāpmānaḥ pradūyante ya etadevaṃ vidvānagnihotraṃ juhoti ||,"""Just as wood burns in a blazing fire, so too do all sinners burn when a knowledgable person performs the agnihotra (a type of Vedic ritual)."""
4,yatheha kṣudhitā bālā mātaraṃ paryupāsate | ev~ sarvāṇi bhūtānyagnihotramupāsata ityagnihotramupāsata iti ||,"Like a hungry child serves her mother, so one should serve all beings; this is called agnihotra (the sacred fire ritual), it is called agnihotra."
5,agnayo vai trayī vidyā devayānaḥ panthā gārhapatya ṛk pṛthivī rathantaramanvāhāryapacanaḥ yajurantarikṣaṃ vāmadevyamāhavanīyaḥ sāma suvargo loko bṛhattasmādagnīn paramaṃ vadanti || ||,"The threefold knowledge is the path of the gods, Agni is its seer, the Gārhapatya is its Rik verse, earth its carriage; the Anvāhāryapacana is its Yajur verse, the mid-region its Devevyam; the Āhavanīya is its Sāma verse, the world of heaven its destination, hence they declare Agni as the highest."
6,agnihotra~ sāyaṃ prātargṛhāṇāṃ niṣkṛtiḥ sviṣṭa~ suhutaṃ yajñakratūnāṃ prāyaṇa~ suvargasya lokasya jyotistasmādagnihotra~ paramaṃ vadanti ||,"The evening and morning oblations through Agnihotra are the purification of homes, the auspicious offering in yajnakratu, and the light leading to the attainment of the heavenly world. Therefore, they declare Agnihotra to be the supreme."
7,vasanti prāṇino yatra |,"""Where living beings dwell, it is spring"" or ""The dwelling place of living beings is spring."""
8,tataḥ tu irāvatīm nāma jajñe bhadramadā sutām | tasyāḥ tu airāvataḥ putro lokanātho mahāgajaḥ ||,"Then was born Irāvatī, named Bhadramadā's daughter. Her son was Airāvata, the great elephant and lord of the worlds."
9,cāturvarṇyaṃ mayā sṛṣṭaṃ guṇakarmavibhāgaśaḥ | tasya kartāramapi māṃ viddhyakartāramavyayam ||,"The four-class division was created by me, based on qualities and actions. Know me too as the non-transitory creator of that system based on quality and action."
10,eṣāmutpattyādiryathā yadā bhagavān puruṣarūpeṇa sṛṣṭiṃ kṛtavān tadāsyaśarīrāt catvāro varṇā utpannāḥ mukhato brāhmaṇāḥ bāhutaḥ kṣatriyāḥ ūruto vaiśyāḥ pādataḥ śūdrā jātāḥ,"At the time when the Lord assumed the form of a Purusha and created, then from his body emerged four varnas (social classes) - Brahmins from the mouth, Kshatriyas in large numbers from the arms, Vaishyas from the thighs, and Shudras from the feet."
11,brāhmaṇo'sya mukhamāsīdbāhū rājanyaḥ kṛtaḥ | ūrū tadasya yadvaiśyaḥ padbhyāṃ śūdro ajāyata ||,"The brahmin was born from his mouth, the ruler from his arms, the vaishya from his thighs, and the shudra from his feet."
12,āśramaḥ śāstrokta dharmmaviśeṣaḥ| āśrāmyanti svaṃ svaṃ tapaścarantyatra | sa caturvidhaḥ | brahmacaryyaṃ gārhasthyaṃ vānaprasthyaṃ sannyāsaḥ | iti smṛtiḥ || brahmacārī | gṛhī | vānaprasthaḥ | bhikṣuḥ | ityamaraḥ ||,"The āśrama, as instructed by the śāstra, is a specific aspect of dharma. In this āśrama, individuals pursue their own tapas. It is fourfold, consisting of brahmacarya, gārhastya, vānaprastha, and sannyāsa. This is remembered as: the brahmacārī, gṛhī, vānaprastha, and bhikṣu."
13,trayo dharmaskandhā yajño'dhyayanaṃ dānamiti prathamastapa eva dvitīyo brahmacāryācāryakulavāsī tṛtīyo'tyantamātmānamācāryakule'vasādayansarva ete puṇyalokā bhavanti brahmasa~stho'mṛtatvameti || ||,"The three branches of dharma are sacrifice , study , and charity . Those who follow the first, living in the teacher's household as a student, the second, observing celibacy and serving the teacher's family, and the third, dedicating oneself completely to self-study and realization while residing in the teacher's household, all these attain auspicious worlds and ultimately, become one with Brahman, achieving immortality."
14,yathā vāyuṃ samāśritya vartante sarvajantavaḥ | tathā gṛhasthaṃ āśritya vartante sarva āśramāḥ | | | | yasmāttrayo'pyāśramiṇo jñānenānnena cānvaham | gṛhasthenaiva dhāryante tasmājjyeṣṭhāśramo gṛhī | | | |,"Just as all creatures depend on the wind and function accordingly, similarly all ashrams (stages of life) function relying on the householder. Indeed, due to knowledge alone, the three other ashrams are supported by the householder; therefore, the householder's stage is considered the highest."
15,ṛgvedaṃ bhagavo'dhyemi yajurveda~ sāmavedamātharvaṇaṃ caturthamitihāsapurāṇaṃ pañcamaṃ vedānāṃ vedaṃ pitrya~ rāśiṃ daivaṃ nidhiṃ vākovākyamekāyanaṃ devavidyāṃ brahmavidyāṃ bhūtavidyāṃ kṣatravidyāṃ nakṣatravidyāṃ sarpadevajñavidyāmetadbhagavo'dhyemi,"I study the Rigveda, truly; I endeavor to learn the Yajurveda and Samaveda too, as well as the Atharvanangirasa, considered the fourth Veda. The fifth is the collection of historical accounts, hymns, and philosophies known as the Itihasapurana. I seek to understand the knowledge of the Gods, the Brahman, the creatures, the warrior, the stars, and the science of serpent-demons. This, I study."
16,so'haṃ bhagavo mantravidevāsmi nā''tmavicchuta~hyeva me bhagavoddṛśebhyastarati śokamātmaviditi so'haṃ bhagavaḥ śocāmi taṃ mā bhagavā ñchokasya parāṃ tārayatviti ta~hovāca yadvai kiṃcaitadadhyagīṣṭhānāmaivaitat,"I am that mantra-knowing being, sovereign Lord; it will never leave me, this knowledge of the self that wards off grief. Therefore I am, sovereign Lord, full of sorrow. May you not add to this grief of mine, but instead liberate him from the great ocean of sorrow.
He then said: ""Indeed, this is the highest name."""
17,nāma vā ṛgvedo yajurvedaḥ sāmaveda atharvaṇaścaturtha itihāsapurāṇaḥ pañcamo vedānāṃ vedaḥ pitryo rāśidaivo nidhirvākovākyamekāyanaṃ devavidyā brahmavidyā bhūtavidyā kṣatravidyā nakṣatravidyā sarpadevajñavidyā nāmaivaitannāmopāssveti,"The name of the first is Rigveda, Yajurveda the second, the third SamaVEDA, and Atharvan the fourth; the fifth is Itihāsa-Purāṇa, known as the knowledge of Pitrs, the vast wealth, the lore of words, divine vidyā, brahma vidyā, knowledge of beings, kshatra vidyā, knowledge of stars, and serpent-deva jñana. Thus are named these names to be meditated upon."
18,yadā vai vijānātyatha satyaṃ vadati nāvijānansatyaṃ vadati vijānanneva satyaṃ vadati vijñānaṃ tveva vijijñāsitavyamiti vijñānaṃ bhagavo vijijñāsa iti,"When one truly understands, they speak the truth. If they do not understand, they still may speak the truth unknowingly. But, knowing or unknowing, speaking the truth is to be understood (to be sought after). Thus, the Lord said, ""Understand this to be understood."""
19,yadā vai manute'tha vijānāti nāmatvā vijānāti matvaiva vijānāti matistveva vijijñāsitavyeti matiṃ bhagavo vijijñāsa iti,"""When one ponders and understands 'this is name,' but does not understand beyond that; only knows what is thought, yet should investigate further - thus should the understanding be sought, Bhagavan."""
20,yadā vai śraddadhātyatha manute nāśraddadhanmanute śraddadheva manute śraddhātveva vijijñāsitavyeti śraddhāṃ bhagavo vijijñāsa iti,"When one fully dedicates themself to faith, as they think, so they become. They should investigate this matter of faith: ""What is this faith that the Blessed One inquires about?"""
21,yadā vai nistiṣṭhatyatha śraddadhāti nānistiṣṭhacchraddadhāti nistiṣṭhanneva śraddadhāti niṣṭhātveva vijijñāsitavyeti niṣṭhāṃ bhagavo vijijñāsa iti,"When one fully establishes themselves, then they truly develop faith, not when they are unestablished. One should inquire into 'firmness' (niṣṭhā), O Lord, for this is what ought to be understood as 'firmness'."
22,yadā vai karotyatha nistiṣṭhati nākṛtvā nistiṣṭhati kṛtvaiva nistiṣṭhati kṛtistveva vijijñāsitavyeti kṛtiṃ bhagavo vijijñāsa iti,"""When one acts or settles without having acted, or settles after having acting, or even when settled in action itself, all these should be examined, says the Lord."""
23,yadā vai sukhaṃ labhate'tha karoti nāsukhaṃ labdhvā karoti sukhameva labdhvā karoti sukhaṃ tveva vijijñāsitavyamiti sukhaṃ bhagavo vijijñāsa iti,"When happiness is obtained, one should do (only) happy actions, not (do) unhappy ones; having obtained happiness, one should do happy actions only. This should be specially understood as 'happiness', the Blessed One said, referring to happiness."
24,vedam evābhyasennityaṃ yathākām atandritaḥ | taṃ hyasyāhuḥ paraṃ dharmam upadharmo'nya ucyate,"""One should regularly study the Vedas with enthusiasm, as one desires. What is otherwise than this is called adharmah (unrighteousness)."""
25,vayasaḥ karmaṇo'rthasya śrutasyābhijanasya ca | veṣavāgbuddhisārūpyaṃ ācaranvicarediha śrutismṛtyuditaṃ samyaṅnibaddhaṃ sveṣu karmasu | dharmamūlaṃ niṣeveta sadācāraṃ atandritaḥ ācārāllabhate hyāyurācārādīpsitāḥ prajāḥ | ācārāddhanaṃ akṣayyaṃ ācāro hantyalakṣaṇam,"Of hearing , social class , and the purpose of actions, one should properly abide, regulated by the rule of conduct in his own duties , illuminated by scripture and tradition. One should always cultivate Dharma, which is the root of proper conduct , unwaveringly. Proper conduct leads to longevity and is desirable for offspring . Wealth arises from proper conduct and it is the marker of one who should be killed ."
26,kaṇādena tu saṃproktaṃ śāstraṃ vaiśeṣikaṃ mahat | gautamena tathā nyāyaṃ sāṃkhyaṃ tu kapilena vai ||,"The Vaiseshika shastra was mentioned by Kanada, while Gautama expounded on Nyaya; Samkhya was taught by Kapila."
27,saḥ eṣaḥ saptabhiḥ puruṣairnipaṉna ekaḥ puruṣaḥ prajāpatiḥ virāṭ abhūt evaṃ liṅgaśarīrābhimānihiraṇyagarbhakartṛkā virāḍutpattiruktā tasya virājo'gnirūpatāmāha sa yaḥ puruṣaḥ iti sa prajāpatiḥ eva ayaṃ cīyamānaḥ agniḥ ityarthaḥ kāṇḍikā atha yo garbho'ntarāsīt so'gnirasṛjyata sa yadasya sarvasyāgramasṛjyata tasmādagniḥ agnirhavai tamagnirityācakṣate paro'kṣam paro'kṣakāmā hi devāḥ kāṇḍikā,"This very Purusha, when created by seven Purushas, is one. He became Prajapati and Virat. Thus, the formation of his linga-sharira (subtle body) was accomplished, along with the Hiranyagarbha (Cosmic Egg) and Kartrika (creative power). This is how the manifestation of Virat took place.
Then, Agni (fire) was assigned its form (as a representation of the Purusha). The one who is called Purusha is indeed Prajapati. Similarly, this ongoing process of creation is referred to as 'Agni'. The seers and those who seek knowledge call it by various names like 'Paroksha' and 'Parokshakama'. As per Kaandika (a Hindu scripture), the fire that was born from the Garbha (womb) within, is Agni. And the one who creates everything in its entirety is also referred to as Agni."
28,medhāyai manase'gnaye svāheti medhayā vai manasābhigacchati yajeyeti tadasyetadamubhayamātmanyeva yanmedhā ca manaśca te asminnete ubhe devate ātmanyādhīte,"For intellect, ""Svaha"" (is offered) in the mind-fire; with intellect, indeed, one reaches the mind. One should sacrifice to it. This (sacrifice) is for both in the self alone, whatever is intellect and mind. In this Self, both of them, the intellect and the mind, should be devoted."
29,sa tvamagniṃ svargyamadhyeṣi mṛtyo prabrūhi tvaṃ śraddadhānāya mahyam | svargalokā amṛtatvaṃ bhajanta etad dvitīyena vṛṇe vareṇa || ||,"You indeed know that heavenly fire, O Death; please tell this to me who has faith. The abodes of heaven bestow immortality; I choose this as my second boon."
30,atha hāgnaya: samūdire tapto brahmacārī kuśalaṃ na: paryacārīddhantāsmai prabravāmeti tasmai hocu: || ||,"""Then, to Agneya, who had been purified by austerities and was engaged in celibacy, they said, 'Expert in rituals, well done! We approve.'"""
31,atha hainaṃ gārhapatyo'nu śaśāsa pṛthivyagnirannamāditya iti ya | eṣa āditye puruṣo dṛśyate so'hamasmi sa evāhamasmīti || ||,"""Then the gārhapatya fire addressed him, 'This is the earth-offering, Aditya (the sun).' The person seen in the sun, that is me. I am indeed that."""
32,yadā lelāyate hṛārci: samiddhe havyavāhane tadājyabhāgāvantareṇāhutī: pratipādayet,"When the fire within the heart flickers , then an offering , along with the portion of oblation , should be presented in the other fire ."
