id,sloka,translation,
1,athāto rājayakṣmacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now, we shall explain the treatment of the royal disease; thus declared the revered Ātreya.",
2,divaukasāṃ kathayatāmṛṣibhirvai śrutā kathā|  kāmavyasanasaṃyuktā paurāṇī śaśinaṃ prati||3||,"The ancient tale of the moon, associated with desire and affliction, has been recounted by the seers to the inhabitants of heaven.",
3,rohiṇyāmatisaktasya śarīraṃ nānurakṣataḥ|  ājagāmālpatāmindordehaḥ snehaparikṣayāt||4||  duhitṝṇāmasambhogāccheṣāṇāṃ ca prajāpateḥ|  krodho niḥśvāsarūpeṇa mūrtimān niḥsṛto mukhāt||5||  prajāpaterhi duhitṝraṣṭāviṃśatimaṃśumān|  bhāryārthaṃ pratijagrāha na ca sarvāsvavartata||6||  guruṇā tamavadhyātaṃ bhāryāsvasamavartinam|  rajaḥparītamabalaṃ yakṣmā śaśinamāviśat||7||  so'bhibhūto'timahatā  gurukrodhena niṣprabhaḥ|  devadevarṣisahito jagāma śaraṇaṃ gurum||8||,"The physical body of one who is not excessively attached to Rohini does not protect by itself; therefore, Indra's form , with its limited strength , emerged from his mouth in the form of a sneeze . The twenty-percent portion of Prajapati that was meant for his wife left to become her companion , but it did not remain with her due to the emergence of anger and weakness . Overpowered by this great force , Indra went to seek the refuge of his guru, accompanied by devas, rishis, and other beings.",
4,atha candramasaḥ śuddhāṃ matiṃ buddhvā prajāpatiḥ|  prasādaṃ kṛtavān somastato'śvibhyāṃ cikitsitaḥ||9|| sa vimuktagrahaścandro virarāja viśeṣataḥ|  ojasā [2] vardhito'śvibhyāṃ śuddhaṃ sattvamavāpa ca||10||,"Having contemplated the pure consciousness of Chandra (the moon), Prajapati then made an offering to it and was subsequently healed by the two Ashvin brothers. Once liberated from its grasp, the moon's brilliance increased, and its pure essence was obtained.",
5,krodho yakṣmā jvaro roga ekārtho duḥkhasañjñakaḥ|  yasmāt sa rājñaḥ prāgāsīdrājayakṣmā tato mataḥ||11||,"The cough, fever, and disease, all indicating a single meaning of distress, previously originated from the king; thus, it is considered that the royal cough and fever have come from him.",
6,sa yakṣmā huṅkṛto'śvibhyāṃ mānuṣaṃ lokamāgataḥ|  labdhvā caturvidhaṃ hetuṃ samāviśati mānavān||12||,"He who has been driven out by consumption (a serious disease) and has come to the human world, having obtained the four causes, enters the body of a human being.",
7,ayathābalamārambhaṃ vegasandhāraṇaṃ kṣayam|  yakṣmaṇaḥ kāraṇaṃ vidyāccaturthaṃ viṣamāśanam||13||,"Improper exertion of strength, vega's control, and the destruction are, respectively, the causes of fatigue , paralysis , and consumption disease . The fourth factor , causing disorder , is improper diet .",
8,yuddhādhyayanabhārādhvalaṅghanaplavanādibhiḥ|  patanairabhighātairvā sāhasairvā tathā'paraiḥ||14||  ayathābalamārambhairjantorurasi vikṣate|  vāyuḥ prakupito doṣāvudīryobhau pradhāvati||15||,"Initiated into battle, with the burden of study, crossing obstacles and waves,
Through falls, collisions, attacks, and such, as well as through great forces;
When one who is not equal to the task begins, his strength wanes at heart,
The wind agitated by faults rushes violently, causing disturbances.",
9,sa śiraḥsthaḥ śiraḥśūlaṃ karoti galamāśritaḥ|  kaṇṭhoddhvaṃsaṃ ca kāsaṃ ca svarabhedamarocakam||16||  pārśvaśūlaṃ ca pārśvastho varcobhedaṃ gude sthitaḥ|  jṛmbhāṃ jvaraṃ ca sandhistha uraḥsthaścoraso rujam||17||,"He who is stationed in the head does actions like pulling the hair and striking with the horn; causing a split in the neck and creating distinctions in voice and visibility. Positioned near the side, he creates differences in strength and resides in the stomach, bringing forth hiccups and fever at the joints, causing discomfort in the chest and pain in the sides.",
10,kṣaṇanādurasaḥ  kāsāt kaphaṃ ṣṭhīvet saśoṇitam|  jarjareṇorasā kṛcchramuraḥśūlātipīḍitaḥ||18||,"Stricken with pain in the twinkling of an eye, from what cause does kapha become aggravated, afflicting the heart with great difficulty, as one grows old?",
