id,sloka,translation,Unnamed: 3
1,athāto rājayakṣmacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now, we shall explain the cure for the king's ailment. So said the Lord Bhagavan Atreya.",
2,divaukasāṃ kathayatāmṛṣibhirvai śrutā kathā|  kāmavyasanasaṃyuktā paurāṇī śaśinaṃ prati||3||,"Let the stories of the celestials be narrated by the seers; the ancient tales, associated with desires’ destruction, directed towards the moon and the hare.",
3,rohiṇyāmatisaktasya śarīraṃ nānurakṣataḥ|  ājagāmālpatāmindordehaḥ snehaparikṣayāt||4||  duhitṝṇāmasambhogāccheṣāṇāṃ ca prajāpateḥ|  krodho niḥśvāsarūpeṇa mūrtimān niḥsṛto mukhāt||5||  prajāpaterhi duhitṝraṣṭāviṃśatimaṃśumān|  bhāryārthaṃ pratijagrāha na ca sarvāsvavartata||6||  guruṇā tamavadhyātaṃ bhāryāsvasamavartinam|  rajaḥparītamabalaṃ yakṣmā śaśinamāviśat||7||  so'bhibhūto'timahatā  gurukrodhena niṣprabhaḥ|  devadevarṣisahito jagāma śaraṇaṃ gurum||8||,"The body of one who is not devoted to Rohini doesn't protect itself. A divine being has come forth from the body of Indra, reduced by the exhaustion of affection. The twenty percent portion of Prajapati, who enjoys pleasures with his daughters, has taken on a form like the exhalation from the mouth, for testing them. He, who took on a form like exhaustion for his wife, did not maintain himself in all ways. He was overpowered by the anger of his teacher, which had taken the form of lust, passion, and weakness, like a consuming illness. Struck by his teacher's anger, he of great strength went to take refuge in the teacher.",
4,atha candramasaḥ śuddhāṃ matiṃ buddhvā prajāpatiḥ|  prasādaṃ kṛtavān somastato'śvibhyāṃ cikitsitaḥ||9|| sa vimuktagrahaścandro virarāja viśeṣataḥ|  ojasā [2] vardhito'śvibhyāṃ śuddhaṃ sattvamavāpa ca||10||,"After discerning the pure concentration of the moon, Prajapati, having made an offering, himself became free from obstacles. The moon, released from the two obstacles, shone with increased splendor and pure consciousness.",
5,krodho yakṣmā jvaro roga ekārtho duḥkhasañjñakaḥ|  yasmāt sa rājñaḥ prāgāsīdrājayakṣmā tato mataḥ||11||,"Anger, fever, consumption, and disease are, in essence, indicators of suffering. Hence, it was declared that the king who had previously suffered from a disease was unfit to rule; this became the traditional view.",
6,sa yakṣmā huṅkṛto'śvibhyāṃ mānuṣaṃ lokamāgataḥ|  labdhvā caturvidhaṃ hetuṃ samāviśati mānavān||12||,"He, who has been invoked by ""yakṣmā"" from both ""aśva"" species, having obtained the four kinds of causes, enters the human world in a bodily form.",
7,ayathābalamārambhaṃ vegasandhāraṇaṃ kṣayam|  yakṣmaṇaḥ kāraṇaṃ vidyāccaturthaṃ viṣamāśanam||13||,"Initiating wrong strength, relinquishing the control of speed, causing consumption of consumption, the cause of the consumption is the fourth one, associated with knowledge, and unwholesome nourishment.",
8,yuddhādhyayanabhārādhvalaṅghanaplavanādibhiḥ|  patanairabhighātairvā sāhasairvā tathā'paraiḥ||14||  ayathābalamārambhairjantorurasi vikṣate|  vāyuḥ prakupito doṣāvudīryobhau pradhāvati||15||,"""Exerting oneself through study of warfare, crossing obstacles, swimming, and other such efforts, or through falls, collisions, and other such forces, or through great courage - if you begin inappropriately, your strength will waver. Agitated, wind rushes through the two channels (of the body), causing them to expand.""",
9,sa śiraḥsthaḥ śiraḥśūlaṃ karoti galamāśritaḥ|  kaṇṭhoddhvaṃsaṃ ca kāsaṃ ca svarabhedamarocakam||16||  pārśvaśūlaṃ ca pārśvastho varcobhedaṃ gude sthitaḥ|  jṛmbhāṃ jvaraṃ ca sandhistha uraḥsthaścoraso rujam||17||,"He who is established in the head maintains the skull as his command; fixed in the throat, he makes the voice resonate; resting in the chest, he causes the articulation of the sounds of the fifty primary constituent speech sounds; positioned in the flanks, he brings about the distinction of energies; located in the heart, he manifests fever at the time of conjunction; abiding in the navel, he creates distress in the organs of sense; and emerging as eruption, he brings about pain in the body.",
10,kṣaṇanādurasaḥ  kāsāt kaphaṃ ṣṭhīvet saśoṇitam|  jarjareṇorasā kṛcchramuraḥśūlātipīḍitaḥ||18||,"Within a moment, who becomes wasted of phlegm, debilitated by perspiration from exhaustion, tormented by a painful, piercing sensation in the chest?",
