id,sloka,translation,Unnamed: 3
1,athāto rājayakṣmacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now we two shall discuss/expound the desired treatment for the king's ailment, as declared by the revered Ātreya.",
2,divaukasāṃ kathayatāmṛṣibhirvai śrutā kathā|  kāmavyasanasaṃyuktā paurāṇī śaśinaṃ prati||3||,"The seers have recounted to the heavenly beings the ancient tale of the moon, which is associated with affliction and desire. This tale has indeed been heard before. The reference to ""affliction and desire"" suggests a story that may involve the temptations and downfalls faced by those in the heavenly realm, but the exact nature of the tale remains unclear from this context.",
3,rohiṇyāmatisaktasya śarīraṃ nānurakṣataḥ|  ājagāmālpatāmindordehaḥ snehaparikṣayāt||4||  duhitṝṇāmasambhogāccheṣāṇāṃ ca prajāpateḥ|  krodho niḥśvāsarūpeṇa mūrtimān niḥsṛto mukhāt||5||  prajāpaterhi duhitṝraṣṭāviṃśatimaṃśumān|  bhāryārthaṃ pratijagrāha na ca sarvāsvavartata||6||  guruṇā tamavadhyātaṃ bhāryāsvasamavartinam|  rajaḥparītamabalaṃ yakṣmā śaśinamāviśat||7||  so'bhibhūto'timahatā  gurukrodhena niṣprabhaḥ|  devadevarṣisahito jagāma śaraṇaṃ gurum||8||,"The body of one who isn't overly attached to Rohini cannot protect itself; hence, Indra's form emerged from his mouth as a sneeze, possessing limited strength. The twenty percent portion of Prajapati, intended for his wife, left to be her companion but didn't remain with her due to anger and weakness. Overpowered by this great force, Indra sought refuge in his guru, accompanied by devas, rishis, and other beings.",
4,atha candramasaḥ śuddhāṃ matiṃ buddhvā prajāpatiḥ|  prasādaṃ kṛtavān somastato'śvibhyāṃ cikitsitaḥ||9|| sa vimuktagrahaścandro virarāja viśeṣataḥ|  ojasā [2] vardhito'śvibhyāṃ śuddhaṃ sattvamavāpa ca||10||,"After realizing the pure consciousness of the moon, Prajapati, having offered to it, was then healed by the two Ashvin brothers. Once freed from its grasp, the moon not only regained its increased brilliance but also achieved a state of pure existence.",
5,krodho yakṣmā jvaro roga ekārtho duḥkhasañjñakaḥ|  yasmāt sa rājñaḥ prāgāsīdrājayakṣmā tato mataḥ||11||,"The symptoms of distress, namely cough, fever, and disease, all indicating the same meaning, are held to have originated from that king in the past; hence, the royal cough and fever are regarded as having come from him.",
6,sa yakṣmā huṅkṛto'śvibhyāṃ mānuṣaṃ lokamāgataḥ|  labdhvā caturvidhaṃ hetuṃ samāviśati mānavān||12||,"Having been expelled by consumption and taken human form, he who has acquired the four causes integrates into the body of a human being.",
7,ayathābalamārambhaṃ vegasandhāraṇaṃ kṣayam|  yakṣmaṇaḥ kāraṇaṃ vidyāccaturthaṃ viṣamāśanam||13||,"Improper exertion of strength, control of impulse, and the decline are, respectively, the causes of debility , paralysis , and consumption disease . The fourth factor , causing disorder , is improper diet .",
8,yuddhādhyayanabhārādhvalaṅghanaplavanādibhiḥ|  patanairabhighātairvā sāhasairvā tathā'paraiḥ||14||  ayathābalamārambhairjantorurasi vikṣate|  vāyuḥ prakupito doṣāvudīryobhau pradhāvati||15||,"Engaged in battle, impelled by the weight of study, surmounting obstacles and waves, through falls, collisions, attacks, and similarly through great exertions, when one who is not up to the task begins, his strength wanes in his very core. Likewise, when agitated by faults, the wind rushes forth vehemently, causing disturbances.",
9,sa śiraḥsthaḥ śiraḥśūlaṃ karoti galamāśritaḥ|  kaṇṭhoddhvaṃsaṃ ca kāsaṃ ca svarabhedamarocakam||16||  pārśvaśūlaṃ ca pārśvastho varcobhedaṃ gude sthitaḥ|  jṛmbhāṃ jvaraṃ ca sandhistha uraḥsthaścoraso rujam||17||,"The one who is established in the crown of the head pulls the hair and strikes with the horn, creates a split in the throat and makes distinct the voice and form. Similarly, positioned near the side, he makes distinctions in strength and dwells in the stomach, causing hiccups and fever at the junctions, inducing discomfort in the chest and pain in the ribs.",
10,kṣaṇanādurasaḥ  kāsāt kaphaṃ ṣṭhīvet saśoṇitam|  jarjareṇorasā kṛcchramuraḥśūlātipīḍitaḥ||18||,"In a moment, by what cause does kapha afflict, becoming aggravated, as one is tormented with difficulty by a sharp, piercing pain in the heart, as one grows old?",
11,iti sāhasiko yakṣmā rūpairetaiḥ prapadyate|  ekādaśabhirātmajño bhajettasmānna  sāhasam||19||,"In this way, a courageous man seeks refuge through these forms, whereas one who knows his self should worship him, not shying away from courage.",
12,hrīmattvādvā ghṛṇitvādvā bhayādvā vegamāgatam|  vātamūtrapurīṣāṇāṃ nigṛhṇāti yadā naraḥ||20||  tadā vegapratīghātāt kaphapitte samīrayan|  ūrdhvaṃ tiryagadhaścaiva vikārān kurute'nilaḥ||21||  pratiśyāyaṃ ca kāsaṃ ca svarabhedamarocakam|  pārśvaśūlaṃ śiraḥśūlaṃ jvaramaṃsāvamardanam||22||  aṅgamardaṃ muhuśchardiṃ varcobhedaṃ trilakṣaṇam|  rūpāṇyekādaśaitāni yakṣmā yairucyate mahān||23||,"When a person, at that moment, restrains the wind force arisen from shame , compassion , or fear , then due to the obstruction of that wind force , the bodily humors of phlegm and bile get aggravated. This results in various bodily changes such as upward or downward displacement, side-stitch , headache, trembling, fainting, pulsation, etc., known as ""maha yakshma."" These are the three characteristics that define it - pratisyayam, svarabheda, and arocam - which signify symptoms like coughing, change in voice, and shining respectively. The eleven symptoms mentioned here include pulsation, upward or downward movement, side-stitch, headache, trembling, fainting, and others similar in nature.",
13,īrṣyotkaṇṭhābhayatrāsakrodhaśokātikarśanāt|  ativyavāyānaśanācchukramojaśca hīyate||24||  tataḥ snehakṣayādvāyurvṛddho doṣāvudīrayan|  pratiśyāyaṃ jvaraṃ kāsamaṅgamardaṃ śirorujam||25|| śvāsaṃ viḍbhedamaruciṃ pārśvaśūlaṃ svarakṣayam|  karoti cāṃsasantāpamekādaśagadānimān [1] ||26||  liṅgānyāvedayantyetānyekādaśa mahāgadam|  samprāptaṃ rājayakṣmāṇaṃ kṣayāt prāṇakṣayapradam||27||,"Through envy, anxiety, fearlessness, anger, and sorrow, one's vigor and semen dwindle. Then, due to affection's decline and the growth of faults, respiration, digestion, and physical strength weaken. This manifests as symptoms like a runny nose, cough, side pain, hoarseness, and fever. When one encounters these eleven major symptoms, it marks the emergence of a consumption type leading to life force's destruction.",
14,vividhānyannapānāni vaiṣamyeṇa samaśnataḥ|  janayantyāmayān ghorānviṣamānmārutādayaḥ||28||  srotāṃsi rudhirādīnāṃ vaiṣamyādviṣamaṃ gatāḥ|  ruddhvā rogāya kalpante puṣyanti ca na dhātavaḥ||29||  pratiśyāyaṃ prasekaṃ ca kāsaṃ chardimarocakam|  jvaramaṃsābhitāpaṃ ca chardanaṃ rudhirasya ca||30||  pārśvaśūlaṃ śiraḥśūlaṃ svarabhedamathāpi ca|  kaphapittānilakṛtaṃ liṅgaṃ vidyādyathākramam||31|| iti vyādhisamūhasya rogarājasya  hetujam|  rūpamekādaśavidhaṃ hetuścoktaścaturvidhaḥ||32||,"Various kinds of beverages, when consumed in an uneven manner, generate severe imbalances; they produce toxins and disrupt the flow in the senses, such as those that originate from blood. When these toxins obstruct the natural pathways, they result in diseases and nourish them. The following are described as the causes of this king of diseases: uneven inhalations and exhalations, imbalanced digestion, improper use of sense organs, excessive or insufficient consumption of food, drinks, or rest, and physical injuries. These are the eleven forms of causes, classified into four categories.",
15,pūrvarūpaṃ pratiśyāyo daurbalyaṃ doṣadarśanam|  adoṣeṣvapi bhāveṣu kāye bībhatsadarśanam||33||  ghṛṇitvamaśnataścāpi balamāṃsaparikṣayaḥ|  strīmadyamāṃsapriyatā priyatā cāvaguṇṭhane||34||  makṣikāghuṇakeśānāṃ tṛṇānāṃ patanāni ca|  prāyo'nnapāne keśānāṃ nakhānāṃ cābhivardhanam||35|| patatribhiḥ pataṅgaiśca śvāpadaiścābhidharṣaṇam|  svapne keśāsthirāśīnāṃ bhasmanaścādhirohaṇam||36||  jalāśayānāṃ śailānāṃ vanānāṃ jyotiṣāmapi|  śuṣyatāṃ kṣīyamāṇānāṃ patatāṃ yacca darśanam||37||  prāgrūpaṃ bahurūpasya tajjñeyaṃ rājayakṣmaṇaḥ|38|,"At the onset, observe the signs of debility: the misperception of virtue in what is faulty, and ugliness in the body; aversion, even to food, and loss of strength; a preference for women and wine; and an inclination toward falsehood. Also, take note of falling hair, shedding of skin, excessive growth of nails, and harassment by flies, ants, and birds; as well as the fading of ponds, mountains, forests, and lights; and withering of things that are drying up or falling down. These symptoms collectively indicate a royal consumption (rāja-yakṣmaṇaḥ), which can be identified by its various signs.",
16,rūpaṃ tvasya yathoddeśaṃ nirdekṣyāmi [1] sabheṣajam||38||  yathāsvenoṣmaṇā pākaṃ śārīrā yānti dhātavaḥ|  srotasā ca yathāsvena dhātuḥ puṣyati dhātutaḥ||39||  srotasāṃ sannirodhācca raktādīnāṃ ca saṅkṣayāt|  dhātūṣmaṇāṃ cāpacayādrājayakṣmā pravartate||40||  tasmin kāle pacatyagniryadannaṃ koṣṭhasaṃśritam|  malībhavati tat prāyaḥ kalpate kiñcidojase||41||  tasmāt purīṣaṃ saṃrakṣyaṃ viśeṣādrājayakṣmiṇaḥ|  sarvadhātukṣayārtasya balaṃ tasya hi viḍbalam||42||  rasaḥ srotaḥsu ruddheṣu svasthānastho vidahyate [2] |  sa ūrdhvaṃ kāsavegena bahurūpaḥ pravartate||43||  jāyante vyādhayaścātaḥ ṣaḍekādaśa vā punaḥ|  yeṣāṃ saṅghātayogena rājayakṣmeti kathyate||44||  kāsoṃ'satāpo vaisvaryaṃ jvaraḥ pārśvaśirorujā|  chardanaṃ raktakaphayoḥ śvāsavarcogado'ruciḥ||45||  rūpāṇyekādaśaitāni yakṣmaṇaḥ ṣaḍimāni vā|  kāso jvaraḥ pārśvaśūlaṃ svaravarcogado'ruciḥ||46||  sarvairardhaistribhirvā'pi liṅgairmāṃsabalakṣaye|  yukto varjyaścikitsyastu sarvarūpo'pyato'nyathā||47||,"In the proper order, I will describe his form, which is manifest within the body and develops through the agency of heat, just as food is cooked by fire; the bodily constituents are nourished by their own specific element; and when the flow of these elements is obstructed or they dwindle away, various diseases such as consumption arise. Therefore, one should protect the feces, which holds special significance in preventing wasting disease and weakness caused by the depletion of all bodily constituents. When digestion is impeded, the person becomes debilitated; but if the excrement is evacuated, he soon recovers his strength. Hence, one should be vigilant in protecting it. When there is an imbalance in the three dosas (humors), which are composed of the five elements and reside in the body, and the eleven organs, then ""wasting disease"" arises, taking various forms such as consumption, fever, pain in the sides or joints, thirst, loss of appetite, cough, indigestion, jaundice, and other symptoms, which can occur separately or in combination. If an individual exhibits any of these symptoms, then he should be considered afflicted by wasting disease; if not, then not. The physical marks that indicate the presence of wasting disease are emaciation, fever, cough, pain in the sides, hoarseness of voice, and discoloration of urine and stool. If a person has all or some of these symptoms, he should be considered afflicted by wasting disease; if not, then not.",
17,ghrāṇamūle sthitaḥ śleṣmā rudhiraṃ pittameva vā|  mārutādhmātaśiraso mārutaṃ śyāyate prati||48|| pratiśyāyastato ghoro jāyate dehakarśanaḥ|  tasya rūpaṃ śiraḥśūlaṃ gauravaṃ ghrāṇaviplavaḥ||49||  jvaraḥ kāsaḥ kaphotkleśaḥ svarabhedo'ruciḥ klamaḥ|  indriyāṇāmasāmarthyaṃ yakṣmā cātaḥ [1] prajāyate||50||,"Located at the base of the sense of smell, mucus becomes agitated, and so can blood or even wind when the air element within the head is disturbed. Then, a terrifying condition arises, causing an imbalance and heaviness in the senses. This leads to various ailments, including fever, cough, phlegm, hoarseness, fatigue, and wasting away.",
