id,sloka,translation
1,athāto rājayakṣmacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,Now I will explain the treatment of royal dysentery. Thus spoke Bhagavan Atreya.
2,divaukasāṃ kathayatāmṛṣibhirvai śrutā kathā|  kāmavyasanasaṃyuktā paurāṇī śaśinaṃ prati||3||,"Narrated by the seers to the celestial beings, the ancient tale about the moon is associated with desire-ridden hardships."
3,rohiṇyāmatisaktasya śarīraṃ nānurakṣataḥ|  ājagāmālpatāmindordehaḥ snehaparikṣayāt||4||  duhitṝṇāmasambhogāccheṣāṇāṃ ca prajāpateḥ|  krodho niḥśvāsarūpeṇa mūrtimān niḥsṛto mukhāt||5||  prajāpaterhi duhitṝraṣṭāviṃśatimaṃśumān|  bhāryārthaṃ pratijagrāha na ca sarvāsvavartata||6||  guruṇā tamavadhyātaṃ bhāryāsvasamavartinam|  rajaḥparītamabalaṃ yakṣmā śaśinamāviśat||7||  so'bhibhūto'timahatā  gurukrodhena niṣprabhaḥ|  devadevarṣisahito jagāma śaraṇaṃ gurum||8||,"For one who is excessively attached to Rohini, not taking proper care of his body, the moon's influence wanes, causing emaciation. Due to the lack of intercourse with his other wives and the loss of semen from the twenty-eighth portion dedicated to the wife, anger, in the form of heavy sighs, leaves his mouth. Struck by the immense wrath of his preceptor, who he failed to respect during his marriage to Rohini's daughter, he becomes weakened, covered in impurities, and seeks the refuge of his guru, accompanied by the gods and sages."
4,atha candramasaḥ śuddhāṃ matiṃ buddhvā prajāpatiḥ|  prasādaṃ kṛtavān somastato'śvibhyāṃ cikitsitaḥ||9|| sa vimuktagrahaścandro virarāja viśeṣataḥ|  ojasā [2] vardhito'śvibhyāṃ śuddhaṃ sattvamavāpa ca||10||,"After realizing the pure consciousness of the moon, Prajapati bestowed his grace on the moon. Then, cured by the Ashwinikumaras, the moon, now freed from afflictions, began to shine brilliantly, having gained strength and purified sattva from them."
5,krodho yakṣmā jvaro roga ekārtho duḥkhasañjñakaḥ|  yasmāt sa rājñaḥ prāgāsīdrājayakṣmā tato mataḥ||11||,"Anger, fever, heat, and disease are all signs of a single affliction. That is known as ""royal fever"" before a king's reign."
6,sa yakṣmā huṅkṛto'śvibhyāṃ mānuṣaṃ lokamāgataḥ|  labdhvā caturvidhaṃ hetuṃ samāviśati mānavān||12||,"The one born from the curse of the Asvins as a human in this world, after obtaining the four types of causes, settles among humans. (Referring to the story of the birth of the being named Yaksmā)"
7,ayathābalamārambhaṃ vegasandhāraṇaṃ kṣayam|  yakṣmaṇaḥ kāraṇaṃ vidyāccaturthaṃ viṣamāśanam||13||,"Improper effort, maintenance of speed, wasting of energy, and irregular diet are recognized as the causes of illness."
8,yuddhādhyayanabhārādhvalaṅghanaplavanādibhiḥ|  patanairabhighātairvā sāhasairvā tathā'paraiḥ||14||  ayathābalamārambhairjantorurasi vikṣate|  vāyuḥ prakupito doṣāvudīryobhau pradhāvati||15||,"The creature is torn asunder when it engages in reckless ventures such as studying for battle, crossing rivers, and so on, or experiencing falls, blows, and other such violent occurrences, regardless of their cause. Similarly, when the wind is agitated by two faults, it starts to blow strongly and forcefully. (translated by Srinivasan Panchadasi)
Please note that there could be multiple valid translations based on context and nuances of the language. The given translations are not exhaustive but are provided as a sample for reference."
9,sa śiraḥsthaḥ śiraḥśūlaṃ karoti galamāśritaḥ|  kaṇṭhoddhvaṃsaṃ ca kāsaṃ ca svarabhedamarocakam||16||  pārśvaśūlaṃ ca pārśvastho varcobhedaṃ gude sthitaḥ|  jṛmbhāṃ jvaraṃ ca sandhistha uraḥsthaścoraso rujam||17||,"Placed in the head, it gives rise to a headache; situated in the throat, it causes cough and change in voice. Positioned in the sides, it results in waist pain; located at the navel, it produces flatulence and fever; dwelling in the joints, it creates shivering and bodily pain."
10,kṣaṇanādurasaḥ  kāsāt kaphaṃ ṣṭhīvet saśoṇitam|  jarjareṇorasā kṛcchramuraḥśūlātipīḍitaḥ||18||,"Experiencing, in an instant, a sudden increase of phlegm and bile along with blood, afflicted by a severe pain in the sides due to a weakened and shrunken chest."
11,iti sāhasiko yakṣmā rūpairetaiḥ prapadyate|  ekādaśabhirātmajño bhajettasmānna  sāhasam||19||,"Thus, a courageous person seeks to overcome the fever-like ailment with these forms. One should worship the eleventh-born (Ganesha) as he is devoid of fear."
12,hrīmattvādvā ghṛṇitvādvā bhayādvā vegamāgatam|  vātamūtrapurīṣāṇāṃ nigṛhṇāti yadā naraḥ||20||  tadā vegapratīghātāt kaphapitte samīrayan|  ūrdhvaṃ tiryagadhaścaiva vikārān kurute'nilaḥ||21||  pratiśyāyaṃ ca kāsaṃ ca svarabhedamarocakam|  pārśvaśūlaṃ śiraḥśūlaṃ jvaramaṃsāvamardanam||22||  aṅgamardaṃ muhuśchardiṃ varcobhedaṃ trilakṣaṇam|  rūpāṇyekādaśaitāni yakṣmā yairucyate mahān||23||,"When a person, for reasons of shame, compassion, or fear, restrains the wind that carries away urine, feces, and flatulence, then the wind causes disorders such as bloating, indigestion, cough, pain in the sides and head, fever, abdominal pain, emaciation, loss of lustre, and eleven other symptoms known as Maha Yakshma."
