id,sloka(iast),translation
1,athāto rājayakṣmacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now we shall expound the chapter “Rajayakshma Chikitsa""(Management of Wasting Diseases). Thus said Lord Atreya. [1-2]"
2,divaukasāṃ kathayatāmṛṣibhirvai śrutā kathā|  kāmavyasanasaṃyuktā paurāṇī śaśinaṃ prati||3||,"The following story – of Chandrama (Moon)’s passionate cohabiting (with Rohini, one of his 28 celestial wives)  - was narrated by the Gods to the sages. "
3,rohiṇyāmatisaktasya śarīraṃ nānurakṣataḥ|  ājagāmālpatāmindordehaḥ snehaparikṣayāt||4||  duhitṝṇāmasambhogāccheṣāṇāṃ ca prajāpateḥ|  krodho niḥśvāsarūpeṇa mūrtimān niḥsṛto mukhāt||5||  prajāpaterhi duhitṝraṣṭāviṃśatimaṃśumān|  bhāryārthaṃ pratijagrāha na ca sarvāsvavartata||6||  guruṇā tamavadhyātaṃ bhāryāsvasamavartinam|  rajaḥparītamabalaṃ yakṣmā śaśinamāviśat||7||  so'bhibhūto'timahatā  gurukrodhena niṣprabhaḥ|  devadevarṣisahito jagāma śaraṇaṃ gurum||8||,"Because of his excessive sexual indulgence with Rohini, Chandrama soon started neglecting his own health, becoming emaciated due to depletion of his bodily unctuousness (essence or vitality). Besides, his inordinate attention to just one wife in comparison to the others resulted in his not being able to satisfy the desires of his remaining wives – all of whom were the daughters of Daksha Prajapati (Lord of Progeny). This ill-treatment to his daughters made Daksha furious, and his anger came out of his mouth in the form of breath that took a physical form (Yakshma). The now lusterless, afflicted Moon sought clemency from the great Daksha, accompanied by the Gods and Sages. "
4,atha candramasaḥ śuddhāṃ matiṃ buddhvā prajāpatiḥ|  prasādaṃ kṛtavān somastato'śvibhyāṃ cikitsitaḥ||9|| sa vimuktagrahaścandro virarāja viśeṣataḥ|  ojasā [2] vardhito'śvibhyāṃ śuddhaṃ sattvamavāpa ca||10||,"Daksha Prajapati , now realizing Chandrama’s pure state of mind (and therefore, admitting his folly), became cordial to him got him treated by the Ashwin, the celestial physicians. The Ashwins having enhanced his ojas (vital essence), Chandrama additionally acquired a great purity of mind. [3-10]"
5,krodho yakṣmā jvaro roga ekārtho duḥkhasañjñakaḥ|  yasmāt sa rājñaḥ prāgāsīdrājayakṣmā tato mataḥ||11||,"Krodha(rage), yakshma (sickness), jwara(fever) and roga (disease suffering) – these terms are synonymous, and indicate misery. Because it afflicted Chandrama, the king of stars, originally, it is called rajayakshma, or the king of diseases. "
6,sa yakṣmā huṅkṛto'śvibhyāṃ mānuṣaṃ lokamāgataḥ|  labdhvā caturvidhaṃ hetuṃ samāviśati mānavān||12||,"This disease, having been treated by the Ashwin in the celestial world, has come down to the world of mortals (i.e., human beings). Here, it afflicts human beings after being triggered by a four-fold causative factor [11-12]"
7,ayathābalamārambhaṃ vegasandhāraṇaṃ kṣayam|  yakṣmaṇaḥ kāraṇaṃ vidyāccaturthaṃ viṣamāśanam||13||,"Over–exertion beyond one’s capacity, suppression of natural urges, depletion of tissue elements and irregular dietary habits are the etiological factors of rajayakshma. [13]"
8,yuddhādhyayanabhārādhvalaṅghanaplavanādibhiḥ|  patanairabhighātairvā sāhasairvā tathā'paraiḥ||14||  ayathābalamārambhairjantorurasi vikṣate|  vāyuḥ prakupito doṣāvudīryobhau pradhāvati||15||,"When beyond one’s capacity, a person indulges in excess battle, reading, weight-lifting, walking, jumping, swimming etc. or falls down - or gets injured -or exerts himself in any action that is beyond his strength or tolerance, leads to chest injury and , vitiates vata dosha. This vata dosha afflicts the other two (pitta and kapha dosha). These vitiated dosha, along with vayu, spread in all direction within body (pradhavati) and cause eleven symptoms, with each symptom directly corresponding to the particular part of the body. "
9,sa śiraḥsthaḥ śiraḥśūlaṃ karoti galamāśritaḥ|  kaṇṭhoddhvaṃsaṃ ca kāsaṃ ca svarabhedamarocakam||16||  pārśvaśūlaṃ ca pārśvastho varcobhedaṃ gude sthitaḥ|  jṛmbhāṃ jvaraṃ ca sandhistha uraḥsthaścoraso rujam||17||,"If the deranged dosha enters the head, it causes headache; if the throat, then irritation in throat, cough, hoarseness of voice and anorexia; if the chest, then pain in the sides of the chest; if the anus, then diarrhea; if in the joints, then fever, yawning and pain in the chest.  "
10,kṣaṇanādurasaḥ  kāsāt kaphaṃ ṣṭhīvet saśoṇitam|  jarjareṇorasā kṛcchramuraḥśūlātipīḍitaḥ||18||," Injury to the chest and coughing cause the patient to spit out phlegm along with blood. In this case, the patient suffers from unbearable pain in his chest due to pulmonic damage. "
11,iti sāhasiko yakṣmā rūpairetaiḥ prapadyate|  ekādaśabhirātmajño bhajettasmānna  sāhasam||19||,These eleven symptoms are manifested in the patients suffering from yakshma caused by overexertion. [14-19]
12,hrīmattvādvā ghṛṇitvādvā bhayādvā vegamāgatam|  vātamūtrapurīṣāṇāṃ nigṛhṇāti yadā naraḥ||20||  tadā vegapratīghātāt kaphapitte samīrayan|  ūrdhvaṃ tiryagadhaścaiva vikārān kurute'nilaḥ||21||  pratiśyāyaṃ ca kāsaṃ ca svarabhedamarocakam|  pārśvaśūlaṃ śiraḥśūlaṃ jvaramaṃsāvamardanam||22||  aṅgamardaṃ muhuśchardiṃ varcobhedaṃ trilakṣaṇam|  rūpāṇyekādaśaitāni yakṣmā yairucyate mahān||23||,"When due to bashfulness or disgust or fear one suppresses the impelling urge to pass flatus, urine and/or feces, vata, due to the obstruction of such urges, propels kapha and pitta upwards, obliquely and downwards within the body, causing the disorders having symptoms of all three doshas such as coryza, cough, hoarseness of voice, anorexia, pain in flank, headache, fever, pain in shoulders, bodyache, frequent vomiting and diarrhea. These are the eleven symptoms of rajayakshma caused due to suppression of urges. [20-23]"
13,īrṣyotkaṇṭhābhayatrāsakrodhaśokātikarśanāt|  ativyavāyānaśanācchukramojaśca hīyate||24||  tataḥ snehakṣayādvāyurvṛddho doṣāvudīrayan|  pratiśyāyaṃ jvaraṃ kāsamaṅgamardaṃ śirorujam||25|| śvāsaṃ viḍbhedamaruciṃ pārśvaśūlaṃ svarakṣayam|  karoti cāṃsasantāpamekādaśagadānimān [1] ||26||  liṅgānyāvedayantyetānyekādaśa mahāgadam|  samprāptaṃ rājayakṣmāṇaṃ kṣayāt prāṇakṣayapradam||27||,"Excessive envy, eagerness, fever, terror, anger, grief, excessive indulgence in sexual intercourse, and fasting leads to depletion of shukra and ojas. This, in turn, due to loss of unctuousness, provokes vata which further aggravates the other two doshas and causes eleven symptoms such as—coryza, fever, cough, bodyache, headache, dyspnea, diarrhea, anorexia, pain in flanks, feeble voice and feeling of warmth in shoulders. These eleven symptoms indicate the advent of the great disease rajayakshma due to wasting. [24-27]"
14,vividhānyannapānāni vaiṣamyeṇa samaśnataḥ|  janayantyāmayān ghorānviṣamānmārutādayaḥ||28||  srotāṃsi rudhirādīnāṃ vaiṣamyādviṣamaṃ gatāḥ|  ruddhvā rogāya kalpante puṣyanti ca na dhātavaḥ||29||  pratiśyāyaṃ prasekaṃ ca kāsaṃ chardimarocakam|  jvaramaṃsābhitāpaṃ ca chardanaṃ rudhirasya ca||30||  pārśvaśūlaṃ śiraḥśūlaṃ svarabhedamathāpi ca|  kaphapittānilakṛtaṃ liṅgaṃ vidyādyathākramam||31|| iti vyādhisamūhasya rogarājasya  hetujam|  rūpamekādaśavidhaṃ hetuścoktaścaturvidhaḥ||32||,"Irregular intake of dietary articles, or irregular dietary habits lead to vitiation of doshas, causing severe amavisha disorders. These vitiated doshas obstruct the channels of blood etc. leading to weaning away of dhatus and causing the 11 symptoms of rajayakshma caused due to irregular dietary habit:  Due to vitiated kapha: coryza, excessive salivation, cough, vomiting and anorexia, Due to vitiated pitta: fever, distress in shoulder and haemoptysis, and Due to vitiated vata: pain in flanks, headache and hoarseness of voice.[28-31]"
