id,original_trans,translation
1,"Now we shall expound the chapter “Rajayakshma Chikitsa""(Management of Wasting Diseases). Thus said Lord Atreya. [1-2]","In the ancient Indian medical science of Ayurveda, Lord Atreya's teachings have been revered for their wisdom and insight. One such chapter that has garnered significant attention is ""Rajayakshma Chikitsa,"" or the Management of Wasting Diseases. This chapter, which holds immense significance in Ayurvedic literature, provides a comprehensive guide to treating diseases that cause wasting, or excessive weight loss and weakness, in the body. In this article, we will delve deep into the teachings of this chapter, elucidating the causes, symptoms, and treatments of wasting diseases, as described in Lord Atreya's enlightening discourses. Join us as we explore this fascinating subject and deepen our understanding of Ayurvedic medicine and its timeless wisdom."
2,"The following story – of Chandrama (Moon)’s passionate cohabiting (with Rohini, one of his 28 celestial wives)  - was narrated by the Gods to the sages. ","In the rich tapestry of Indian mythology, a captivating tale woven by the divine entities for the wise sages is the story of Chandrama and his ardent cohabitation with Rohini, his celestial wife among the 28. A vivid narrative, filled with lessons and symbolism, this account provides a unique insight into the complex and intriguing relationships between the heavenly bodies and their celestial companions, as imagined in ancient Indian traditions."
3,"Because of his excessive sexual indulgence with Rohini, Chandrama soon started neglecting his own health, becoming emaciated due to depletion of his bodily unctuousness (essence or vitality). Besides, his inordinate attention to just one wife in comparison to the others resulted in his not being able to satisfy the desires of his remaining wives – all of whom were the daughters of Daksha Prajapati (Lord of Progeny). This ill-treatment to his daughters made Daksha furious, and his anger came out of his mouth in the form of breath that took a physical form (Yakshma). The now lusterless, afflicted Moon sought clemency from the great Daksha, accompanied by the Gods and Sages. ","The consequences of Chandrama's excessive indulgence in pleasure with Rohini had far-reaching effects beyond his own health and wellbeing. His favoritism towards one wife led to the neglect of the others, who were no less than divine daughters of Daksha Prajapati. This ill-treatment infuriated Daksha, whose anger materialized into a physical form - Yakshma, a dreaded disease. As Chandrama's health deteriorated, and he became lusterless, he sought the mercy of Daksha, accompanied by the Gods and Sages, in hopes of appeasing the Lord's wrath and finding a cure for his affliction."
4,"Daksha Prajapati , now realizing Chandrama’s pure state of mind (and therefore, admitting his folly), became cordial to him got him treated by the Ashwin, the celestial physicians. The Ashwins having enhanced his ojas (vital essence), Chandrama additionally acquired a great purity of mind. [3-10]","In a remarkable turn of events, Daksha Prajapati, having acknowledged his misunderstanding of Chandrama's pure intentions, extended a warm and cordial welcome to him once again. In a heartfelt gesture, he sought the expertise of the Ashwin twins, the celestial physicians, to treat Chandrama and restore his vitality. Through their divine healing touch, the Ashwins were able to significantly enhance Chandrama's ojas or vital essence, leading to a profound transformation in him. Not only did he regain his strength and vitality, but he also attained a new level of purity in his thoughts and actions. This unexpected turn of events serves as a reminder that even in the face of misunderstandings and conflicts, forgiveness and a willingness to admit one's mistakes can lead to powerful and positive transformations for all involved."
5,"Krodha(rage), yakshma (sickness), jwara(fever) and roga (disease suffering) – these terms are synonymous, and indicate misery. Because it afflicted Chandrama, the king of stars, originally, it is called rajayakshma, or the king of diseases. ","The four terms, Krodha, Yakshma, Jwara, and Roga, all point towards one common experience - that of misery. While Krodha, or rage, may seem different from Yakshma, or sickness, they both can lead to a person's downfall, bringing about feelings of helplessness and distress. Jwara, or fever, and Roga, or disease, can also cause immense suffering, affecting both physical health and mental well-being. These concepts have been known to cause affliction since time immemorial, impacting even celestial beings like Chandrama, the king of stars. It is for this reason that Jwara is also known as Rajayakshma, or the king of diseases, indicating its powerful impact on those it afflicts."
6,"This disease, having been treated by the Ashwin in the celestial world, has come down to the world of mortals (i.e., human beings). Here, it afflicts human beings after being triggered by a four-fold causative factor [11-12]","The disease, once exclusively known in the celestial realm and remedied by the divine hands of Ashwin, has made its way into the human world. Now, it plagues mortals, striking only when all four of its causative factors coincide. This complex etiology sets it apart from other ailments and adds to its elusiveness, making it a challenge for healthcare providers on Earth."
7,"Over–exertion beyond one’s capacity, suppression of natural urges, depletion of tissue elements and irregular dietary habits are the etiological factors of rajayakshma. [13]","Rajayakshma, also known as tuberculosis, is a serious health condition that is impacted by various etiological factors. According to Ayurveda, over-exertion beyond one's capacity can lead to an imbalance in the body's systems and make a person more susceptible to this disease. Additionally, suppressing natural urges, such as coughing or sneezing, can create an environment in the body that allows rajayakshma to take hold. Furthermore, the depletion of tissue elements due to factors such as stress or poor nutrition can weaken the body's defenses and make it more vulnerable to this condition. Finally, irregular dietary habits, such as eating at odd hours or consuming foods that are difficult to digest, can also contribute to the development of rajayakshma. By understanding these etiological factors, individuals can take steps to reduce their risk of this serious health condition."
8,"When beyond one’s capacity, a person indulges in excess battle, reading, weight-lifting, walking, jumping, swimming etc. or falls down - or gets injured -or exerts himself in any action that is beyond his strength or tolerance, leads to chest injury and , vitiates vata dosha. This vata dosha afflicts the other two (pitta and kapha dosha). These vitiated dosha, along with vayu, spread in all direction within body (pradhavati) and cause eleven symptoms, with each symptom directly corresponding to the particular part of the body. ","Engaging in activities that exceed one's capabilities, such as excessive fighting, reading, weight-lifting, walking, jumping, or swimming, can result in injury or exhaustion and disturb the balance of the vital energies or doshas in the body – vata, pitta, and kapha. Specifically, overexertion can lead to an imbalance in vata dosha, which governs movement and circulation in the body. This vitiated vata dosha, along with vayu, spreads rapidly throughout the body, affecting all parts and giving rise to eleven distinct symptoms. Each of these symptoms is localized to a specific body part and is a direct manifestation of the disrupted energy flow caused by the vitiated vata dosha."
9,"If the deranged dosha enters the head, it causes headache; if the throat, then irritation in throat, cough, hoarseness of voice and anorexia; if the chest, then pain in the sides of the chest; if the anus, then diarrhea; if in the joints, then fever, yawning and pain in the chest.  ","According to ancient Ayurvedic wisdom, an imbalance in the body's vital energies, or ""doshas,"" can lead to a variety of ailments. If the ""deranged dosha"" makes its way to the head, it is said to cause headaches and related discomforts. Similarly, if it affects the throat, it can result in irritation, cough, hoarseness, and loss of appetite. The chest area is associated with pain in the sides and respiratory issues, while the anus can become a source of diarrhea. In the joints, this imbalance is believed to result in fever, yawning, and chest pain. These traditional beliefs offer a unique and holistic perspective on health and disease."
10," Injury to the chest and coughing cause the patient to spit out phlegm along with blood. In this case, the patient suffers from unbearable pain in his chest due to pulmonic damage. ","A chest injury, combined with persistent coughing, can result in a distressing symptom where patients expel blood-tinged phlegm. This alarming occurrence is often a manifestation of underlying pulmonic damage, causing immense chest pain and discomfort. The traumatized lung tissue becomes fragile, making it prone to bleeding, even during minor coughing fits. The situation underlines the importance of seeking immediate medical attention to address the severity of the injury, prevent further complications, and alleviate the patient's suffering."
