id,sloka,translation
1.0,śriyaḥ kurūṇāmadhipasya pālanīṃ prajāsu vṛttiṃ yamayuṅkta veditum | sa varṇiliṅgī viditaḥ samāyayau yudhiṣṭhiraṃ dvaitavane vanecaraḥ ||1||,"The forester, known as Dvaitavanecara, having acquired knowledge of the marker set by Yudhisthira, set out to understand the means of sustenance for the subjects of King Kurunamrida, who was proficient in protecting wealth and welfare."
2.0,kṛtapraṇāmasya mahīṃ mahībhuje jitāṃ sapatnena nivedayiṣyataḥ | na vivyathe tasya mano na hi priyaṃ pravaktumicchanti mṛṣā hitaiṣiṇaḥ 2||,"Having offered his respects, whose mind does not get agitated, who has conquered over the rival, and who is about to report his victory to the earth-ruler, does not desire to speak untruthfully, even if it is something pleasing to him, such a trustworthy person is rarely found."
3.0,dviṣāṃ vighātāya vidhātumicchato rahasyanujñāmadhigamya bhūbhṛtaḥ | sa sauṣṭhavaudāryaviśeṣaśālinīṃ viniścitārthāmiti vācamādade ||3||,"Desiring to destroy the hatreds, the guardian of the earth, on obtaining the secret instruction, proclaimed these words filled with excellence, generosity, and special meaning, signifying a clearly defined purpose."
4.0,kriyāsu yuktairnṛpa cāracakṣuṣo na vañcanīyāḥ prabhavo'nujīvibhiḥ | ato'rhasi kṣantumasādhu sādhu vā hitaṃ manohāri ca durlabhaṃ vacaḥ||4||,"O king, actions that are properly engaged in should not be made deceptive by those who live off others' wealth. Therefore, you should endure, whether it is virtuous or otherwise, such rare speech that is hard to come by."
5.0,sa kiṃ sakhā sādhu na śāsti yo'dhipaṃ hitānna yaḥ saṃśṛṇute sa kiṃprabhuḥ| sadānukūleṣu hi kurvate ratiṃ nṛpeṣvamātyeṣu ca sarvasaṃpadaḥ || 5 ||,"Who is a true friend, who does not admonish, who attends to the welfare of others, who listens, and who is the lord? One who takes delight in always acting in the interests of kings and their ministers is truly endowed with all prosperity."
6.0,nisargadurbodhamabodhaviklavāḥ kva bhūpatīnāṃ caritaṃ kva jantavaḥ | tavānubhāvo'yamavedi yanmayā nigūḍhatattvaṃ nayavartma vidviṣām ||6||,"Where among rulers and subjects is there such excellence and knowledge that surpasses nature? Indeed, this development, revealed by me, of the hidden truth is a path opposed by adversaries."
7.0,viśaṅkamāno bhavataḥ parābhavaṃ nṛpāsanastho'pi vanādhivāsinaḥ | durodaracchadmajitāṃ samīhate nayena jetuṃ jagatīṃ suyodhanaḥ || 7 ||,"Even though he resides in the forest, the powerful Suyodhana, eager for victory, seeks to challenge with his strength the king who is established and accompanied by his army, thinking it a small feat."
8.0,tathāpi jihmaḥ sa bhavajjigīṣayā tanoti śubhraṃ guṇasaṃpadā yaśaḥ | samunnayanbhūtimanāryasaṃgamādvaraṃ virodho'pi samaṃ mahātmabhiḥ ||8||,"Even the cunning one, driven by desire for conquest, enhances his fame through fair qualities when he overcomes in the easy-to-access encounter with the noble assembly, although opposition arises."
9.0,kṛtāriṣaḍvargajayena mānavīmagamyarūpāṃ padavīṃ prapitsunā | vibhajya naktaṃdivamastatandriṇā vitanyate tena nayena pauruṣam ||9||,"Having won over the six enemies, a person makes accessible to humans a form that is difficult to attain. By dividing night and day, they illuminate it with that path; such is the human valor."
10.0,sakhīniva prītiyujo'nujīvinaḥ samānamānānsuhṛdaśca bandhubhiḥ | sa saṃtataṃ darśayate gatasmayaḥ kṛtādhipatyāmiva sādhu bandhutām ||10||,"Like a faithful friend, one who is affectionate, shares similar values, cherishes companionship, and treats others as equals, always displays exemplary friendship, as if having established a rightful dominion of goodness."
11.0,asaktamārādhayato yathāyathaṃ vibhajya bhaktyā samapakṣapātayā | guṇānurāgādiva sakhyamīyivānna bādhate'sya trigaṇaḥ parasparam 11||,"One who worships devotedly, carefully distributing according to one's duty, does not create enmity among the three gunas (sattva, rajas, tamas), as if forming a friendship, by being equally affectionate, just like dividing."
12.0,niratyayaṃ sāma na dānavarjitaṃ na bhūri dānaṃ virahayya satkriyām | pravartate tasya viśeṣaśālinī guṇānurodhena vinā na satkriyā 12||,"Without exception, the one who is always in harmony with their good qualities, does not reject generosity, and is not devoid of small or great gifts, such a person's special and fitting actions arise from their qualities alone, not without them."
13.0,vasni vāñchanna vaśī na manyunā svadharma ityeva nivṛttakāraṇaḥ | gurūpadiṣṭena ripau sute'pi vā nihanti daṇḍena sa dharmaviplavam 13||,"Even one, who is in control of their desires and is not easily angered, considers their own dharma as the only reason for restraint; yet, if taught by the guru, they eliminate enmity even towards their enemies, if born in a noble family – such a person maintains their dharma without causing disruption."
14.0,vidhāya rakṣānparitaḥ paretarānaśaṅkitākāramupaiti śaṅkitaḥ | kriyāpavargeṣvanujīvisātkṛtāḥ kṛtajñatāmasya vadanti saṃpadaḥ ||14||,"Having established means of protection, fearing potential harm from others, one approaches with caution. Those who have accomplished actions leading to liberation from actions themselves speak of this as his wealth, referring to the developed awareness and mindfulness."
15.0,anārataṃ tena padeṣu lambhitā vibhajya samyagviniyogasatkriyāḥ | phalantyupāyāḥ paribṛṃhitāyatīrupetya saṃgharṣamivārthasaṃpadaḥ || 15 ||,"Achieving the goal, through accurately separating and properly employing that which has been protracted in those steps, the enriched and expanded means become like a struggle's success."
16.0,anekarājanyarathāśvasaṃkulaṃ tadīyamāsthānaniketanājiram | nayatyayugmacchadagandhirārdratāṃ bhṛśaṃ nṛpopāyanadantināṃ madaḥ ||16||,"The king, with a large retinue of chariots, horses, and soldiers, leads his resplendent camp, adorned by the smells of cooking, to overwhelm the excessive pride of other kings."
17.0,sukhena labhyā dadataḥkṛṣīvalairakṛṣṭapacyā iva sasyasaṃpadaḥ | vitanvati kṣemamadevamātṛkāścirāya tasminkuravaścakāsati || 17||,"The abundant harvest of the field, easily obtained by farmers who cultivate it with care and without distress, in the same way, should one seek the auspicious, divine grace of the mother goddess; such is my will."
