id,sloka,translation
1, athāto'bhayāmalakīyaṃ rasāyanapādaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||  ,"Then we shall explain the means of fearlessness, which is the foundation of the elixir of life, for the protection of the people of Kuru, the ruler of whom is well-known, and which needs to be understood. This has been said by the Lord Atreya."
2, cikitsitaṃ vyādhiharaṃ pathyaṃ sādhanamauṣadham|  prāyaścittaṃ praśamanaṃprakṛtisthāpanaṃ hitam||3||  vidyādbheṣajanāmāni...|4|  ,"The curative treatment, proper diet, and medicinal herbs that have been prescribed, as well as the expiation, tranquilizers, and measures for establishing one's nature, are all beneficial. People who desire to speak what is pleasing call these, which have been offered by the one who has conquered his rivals, ""knowledge,"" ""medicine,"" and ""favor."""
3, bheṣajaṃ dvividhaṃ ca tat|  svasthasyorjaskaraṃ kiñcit kiñcidārtasya roganut||4||  ,"Desiring to create a remedy, twofold it is: for one's own well-being, causing slight harm to others; or for an afflicted person, understanding the specific, generous, and distinguished meaning, one should take up this speech."
4, abheṣajaṃ ca dvividhaṃ bādhanaṃ sānubādhanam||  ,"""You, who are capable, should recognize two kinds of afflictions: those that arise from physical causes and those that arise from sense organs. Therefore, you should endure what is blamable and what is praiseworthy, for that is what should be done. Indeed, recognizing the enemy in the form of infatuation of the mind is rare and difficult to understand."""
5, svasthasyorjaskaraṃ yattu tadvṛṣyaṃ tadrasāyanam||5|| prāyaḥ prāyeṇa rogāṇāṃ dvitīyaṃ praśamematam|  prāyaḥśabdoviśeṣārtho hyubhayaṃ hyubhayārthakṛt||6||  ,"The virtuous friend indeed teaches what is beneficial and auspicious, the one who has controlled his senses and always speaks words that promote the welfare of those who seek his counsel. This is the secondary means of pacifying most diseases, namely, the company of a sage who is always engaged in promoting virtue in people, including in rulers and their advisors."
6, dīrghamāyuḥ smṛtiṃ medhāmārogyaṃ taruṇaṃvayaḥ|  prabhāvarṇasvaraudāryaṃ dehendriyabalaṃ param||7||  vāksiddhiṃ praṇatiṃkāntiṃ labhate nā rasāyanāt|  lābhopāyo hi śastānāṃ rasādīnāṃ rasāyanam||8||  ,"""Gaining longevity, memory, intelligence, good health, youthfulness, strength, radiance, and majesty in their bodies and abilities, as well as excellence in speech, respect, and charm, is not easily achieved through medicines, but is naturally attained by those who are free from fear and ignorance, through understanding the true principle indicated by my manifestation."""
7, apatyasantānakaraṃ yat sadyaḥ sampraharṣaṇam|  vājīvātibalo yenayātyapratihataḥ striyaḥ||9||  bhavatyatipriyaḥ strīṇāṃ yena yenopacīyate|  jīryato'pyakṣayaṃ śukraṃ phalavadyena dṛśyate||10||  prabhūtaśākhaḥ śākhīva yena caityo yathā mahān|  bhavatyarcyobahumataḥ prajānāṃ subahuprajaḥ||11||  santānamūlaṃ yeneha pretya cānantyamaśnute|  yaśaḥ śriyaṃ balaṃ puṣṭiṃ vājīkaraṇameva tat||12||  ,"The one who bestows instant respect, taking the form of a king's throne,
And delights everyone, dwelling in the forest or in a village;
Who, through his power, can conquer the entire universe;
And who is greatly loved by women, making them pleased;

Who, through his excellent deeds, is seen as a bringer of fame, strength, and nourishment;
Whose semen, even if diminished by age, does not lose its potency;
Whose splendor is like a large tree, spreading its branches wide;
And who is respected by all people, becoming a source of prosperity for his descendants;

Who, as the root of contentment, enjoys an eternal reward in the afterlife,
And brings fame, prosperity, strength, and nourishment, as well as virility - this is he, the truly great one."
8, svasthasyorjaskaraṃ tvetaddvividhaṃ proktamauṣadham|  yadvyādhinirghātakaraṃ vakṣyate taccikitsite||13||  cikitsitārtha etāvān vikārāṇāṃ yadauṣadham|  rasāyanavidhiścāgre vājīkaraṇameva ca||14||  ,"Even though this has been stated before, a means of achieving prosperity for someone who seeks to excel: a medicine that wards off calamity will be described; this is the medicinal treatment for conditions and, at the outset, for enhancing strength as well."
9, abheṣajamiti jñeyaṃ viparītaṃ yadauṣadhāt|  tadasevyaṃ niṣevyaṃ tu pravakṣyāmi yadauṣadham||15||  ,"Knowable as a remedy, but having opposite qualities of a poison, I will describe that which, when served, becomes a different entity during night and day. It has been made passive by the touch of a human woman, having been made unconscious, and is made manifest by that means; it is to be pursued with a manly effort."
10, rasāyanānāṃ dvividhaṃ prayogamṛṣayo viduḥ|  kuṭīprāveśikaṃ caiva vātātapikameva ca||16|| kuṭīprāveśikasyādau vidhiḥ samupadekṣyate|  nṛpavaidyadvijātīnāṃ sādhūnāṃpuṇyakarmaṇām||17||  nivāse nirbhaye śaste prāpyopakaraṇe pure|  diśi pūrvottarasyāṃ ca subhūmau kārayet kuṭīm||18||  vistārotsedhasampannāṃ trigarbhāṃ sūkṣmalocanām|  ghanabhittimṛtusukhāṃ suspaṣṭāṃ manasaḥ priyām||19||  śabdādīnāmaśastānāmagamyaṃ strīvivarjitām|  iṣṭopakaraṇopetāṃ sajjavaidyauṣadhadvijām||20||  athodagayane śukle tithinakṣatrapūjite|  muhūrtakaraṇopete praśastekṛtavāpanaḥ||21||  dhṛtismṛtibalaṃ kṛtvā śraddadhānaḥ samāhitaḥ|  vidhūya mānasān doṣān maitrīṃ bhūteṣu cintayan||22||  devatāḥpūjayitvā'gre dvijātīṃśca pradakṣiṇam|  devagobrāhmaṇān kṛtvā tatastāṃ praviśetkuṭīm||23||  tasyāṃ saṃśodhanaiḥ śuddhaḥ sukhī jātabalaḥ punaḥ|  rasāyanaṃ prayuñjīta tatpravakṣyāmiśodhanam||24||  ,"The friends, united in mutual affection, are always seen to be equal in their respect for each other, like the self-controlled person who has gone beyond the cycle of birth and death, as if he were a relative. Such a virtuous relative is indeed rare."
11, harītakīnāṃ cūrṇāni saindhavāmalake guḍam|  vacāṃ viḍaṅgaṃ rajanīṃ pippalīṃ viśvabheṣajam||25||  pibeduṣṇāmbunā jantuḥsnehasvedopapāditaḥ|  tena śuddhaśarīrāya kṛtasaṃsarjanāya ca||26||  trirātraṃ yāvakaṃ dadyāt pañcāhaṃvā'pi sarpiṣā|  saptāhaṃ vā purāṇasya yāvacchuddhestu varcasaḥ||27||  śuddhakoṣṭhaṃ tu taṃ jñātvā rasāyanamupācaret|  vayaḥprakṛtisātmyajño yaugikaṃ yasya yadbhavet||28||  ,"Offering **harītakī** powder, **saindhava** salt, **guḍa** jaggery, **viḍaṅga** ingredient, **rajani** nightshade, and **pippalī** long pepper as medicinal remedies, one should respectfully give them in measured quantities, according to one's ability, mixed with water, sweating, and fat, at different times, based on their properties, and according to one's personal relationship with them, similar to a friendly attitude. **Asaktam** should be offered **ārādhayataḥ** in this way, without causing any harm **bādhate** to it, because it becomes a source of rejuvenation for this one's own body **asya** and spiritual growth **kṛtasaṃsarjanāya ca**. The **tri-gaṇa** of these ingredients should be combined **parasparam** in this manner."
12, harītakīṃ pañcarasāmuṣṇāmalavaṇāṃ śivām|  doṣānulomanīṃ laghvīṃvidyāddīpanapācanīm||29||  āyuṣyāṃ pauṣṭikīṃ dhanyāṃ vayasaḥ sthāpanīṃ parām|  sarvarogapraśamanīṃbuddhīndriyabalapradām||30||  kuṣṭhaṃ gulmamudāvartaṃ śoṣaṃ pāṇḍvāmayaṃmadam|  arśāṃsi grahaṇīdoṣaṃ purāṇaṃ viṣamajvaram||31||  hṛdrogaṃ saśirorogamatīsāramarocakam|  kāsaṃ pramehamānāhaṃ plīhānamudaraṃ navam||32||  kaphaprasekaṃ vaisvaryaṃ vaivarṇyaṃ kāmalāṃ krimīn|  śvayathuṃ tamakaṃ chardiṃ klaibyamaṅgāvasādanam||33||  srotovibandhān vividhān pralepaṃ hṛdayorasoḥ|  smṛtibuddhipramohaṃ ca jayecchīghraṃ harītakī||34||  (ajīrṇino rūkṣabhujaḥ strīmadyaviṣakarśitāḥ|  severannābhayāmete kṣuttṛṣṇoṣṇārditāścaye)||35||  tān guṇāṃstāni karmāṇi vidyādāmalakīṣvapi|  yānyuktāni harītakyā vīryasya tu viparyayaḥ||36||  ataścāmṛtakalpāni vidyāt karmabhirīdṛśaiḥ|  harītakīnāṃ śasyāni bhiṣagāmalakasya ca||37||  ,"Without the taint of unacceptable gifts, the virtue of giving predominates, as does the fruit of performing special actions that are in line with one's own good qualities, if giving is absent. Its special qualities are found in the fruit of actions of Harītakī and Āmalakī. Therefore, these fruits of Harītakī and Āmalakī, as well as those of the physician, should be quickly known as bringing about immortality through actions for the following diseases: digestive ailments, dyspepsia, abdominal inflammation, emaciation, disorders of phlegm and bile, skin diseases, hemorrhoids, ascites, old age, poison, heart ailments, head ailments, wasting diseases, coughing, diarrhea, enlarged spleen, dropsy, leprosy, epilepsy, paralysis, consumption, edema, asthma, hiccups, debility, discoloration and various obstructions of the channels. These qualities of Harītak"
13, oṣadhīnāṃ parā bhūmirhimavāñ śailasattamaḥ|  tasmātphalāni tajjāni grāhayetkālajāni tu||38||  āpūrṇarasavīryāṇi kāle kāle yathāvidhi|  ādityapavanacchāyāsalilaprīṇitāni ca||39||  yānyajagdhānyapūtīni nirvraṇānyagadāni ca|  teṣāṃ prayogaṃ vakṣyāmi phalānāṃ karma cottamam||40||  ,"Of the two [feminine dual] elements of plants, earth is the supreme; therefore, one should gather ripened fruits from it at the appropriate time. Unripe, washed, purified, decayed, or fallen fruits, their proper use and the excellent results I will describe. Even a weak person, if they wield the rod of dharma, can subdue rogues."
14, pañcānāṃ pañcamūlānāṃ bhāgān daśapalonmitān|  harītakīsahasraṃ ca triguṇāmalakaṃ navam||41||  vidārigandhāṃ bṛhatīṃ pṛśniparṇīṃ nidigdhikām|  vidyādvidārigandhādyaṃ śvadaṃṣṭrāpañcamaṃ gaṇam||42||  bilvāgnimanthaśyonākaṃ kāśmaryamatha pāṭalām|  punarnavāṃ śūrpaparṇyau balāmeraṇḍameva ca||43||  jīvakarṣabhakau medāṃ jīvantīṃ saśatāvarīm|  śarekṣudarbhakāśānāṃ śālīnāṃ mūlameva ca||44||  ityeṣāṃ pañcamūlānāṃ pañcānāmupakalpayet|  bhāgān yathoktāṃstatsarvaṃ sādhyaṃ daśaguṇe'mbhasi||45||  daśabhāgāvaśeṣaṃ tu pūtaṃ taṃ grāhayedrasam|  harītakīśca tāḥ sarvāḥ sarvāṇyāmalakāni ca||46||  tāni sarvāṇyanasthīni phalānyāpothya kūrcanaiḥ|  vinīya tasminniryūhe cūrṇānīmānidāpayet||47||  maṇḍūkaparṇyāḥ pippalyāḥ śaṅkhapuṣpyāḥ plavasyaca|  mustānāṃ saviḍaṅgānāṃ candanāguruṇostathā||48||  madhukasya haridrāyā vacāyāḥ kanakasya ca|  bhāgāṃścatuṣpalān kṛtvā sūkṣmailāyāstvacastathā||49||  sitopalāsahasraṃ ca cūrṇitaṃtulayā'dhikam|  tailasya dvyāḍhakaṃ tatra dadyāttrīṇi ca sarpiṣaḥ||50||  sādhyamaudumbare pātre tat sarvaṃ mṛdunā'gninā|  jñātvālehyamadagdhaṃ ca śītaṃ kṣaudreṇa saṃsṛjet||51||  kṣaudrapramāṇaṃ snehārdhaṃ tat sarvaṃ ghṛtabhājane|  tiṣṭhetsammūrcchitaṃ tasya mātrāṃ kāle prayojayet||52||  yā noparundhyādāhāramekaṃ mātrā jarāṃprati|  ṣaṣṭikaḥ payasā cātra jīrṇe bhojanamiṣyate||53||  vaikhānasā vālakhilyāstathā cānye tapodhanāḥ|  rasāyanamidaṃ prāśyababhūvuramitāyuṣaḥ||54||  muktvā jīrṇaṃ vapuścāgryamavāpustaruṇaṃ vayaḥ|  vītatandrāklamaśvāsā nirātaṅkāḥ samāhitāḥ||55||  medhāsmṛtibalopetāścirarātraṃ tapodhanāḥ|  brāhmaṃ tapo brahmacaryaṃ ceruścātyantaniṣṭhayā||56||  rasāyanamidaṃ brāhmamāyuṣkāmaḥ prayojayet|  dīrghamāyurvayaścāgryaṃ kāmāṃśceṣṭān samaśnute||57||  (iti brāhmarasāyanam)|  ,"With the intention of protection, one should offer (upaiti) the remedy (rakṣān) to both the nearest (parā) and other (itarā) diseases, which have been created (kṛta) for the purpose of removing (upajīvisāt) harmful actions (kriyāpavarga), according to what has been described (vadanti). Having known (jñātā) this, one should apply (prayojayet) this elixir (rasāyanam) as a means of attaining a long life (āyuḥkāma)."
15, bhavanti cātra  idaṃ rasāyanaṃ brāhmaṃ maharṣigaṇasevitam|  bhavatyarogo dīrghāyuḥ prayuñjāno mahābalaḥ||59|| kāntaḥ prajānāṃsiddhārthaścandrādityasamadyutiḥ|  śrutaṃ dhārayate sattvamārṣaṃ cāsya pravartate||60||  dharaṇīdharasāraśca vāyunā samavikramaḥ|  sa bhavatyaviṣaṃ cāsya gātre sampadyate viṣam||61||  (iti dvitīyaṃ brāhmarasāyanam)|  ,"Through that [use of words], which is spread out in these contexts, actions that bring about proper meaning when applied, yield fruits that are increased and enhanced. By making an effort to reach such sampada, one becomes capable of removing obstacles from their body, becoming as strong as the earth's supporter, resembling a powerful wind that can lift things. Additionally, they acquire a shining brilliance like that of the moon and sun, cultivate sattva, retain what has been heard, and gain grace in the eyes of people, being known as a siddhartha, one who has achieved their goals. This is the second part of Brahma Rasayana."
16, bilvo'gnimanthaḥ śyonākaḥ kāśmaryaḥ pāṭalirbalā|  parṇyaścatasraḥ pippalyaḥ śvadaṃṣṭrā bṛhatīdvayam||62||  śṛṅgī tāmalakī drākṣā jīvantī puṣkarāguru|  abhayā cāmṛtā ṛddhirjīvakarṣabhakau śaṭī||63||  mustaṃ punarnavā medā sailā candanamutpalam|  vidārī vṛṣamūlāni kākolī kākanāsikā||64||  eṣāṃ palonmitān bhāgāñchatānyāmalakasya ca|  pañca dadyāttadaikadhyaṃ jaladroṇe vipācayet||65||  jñātvā gatarasānyetānyauṣadhānyatha taṃ rasam|  taccāmalakamuddhṛtya niṣkulaṃ tailasarpiṣoḥ||66||  paladvādaśake bhṛṣṭvā dattvā cārdhatulāṃ bhiṣak|  matsyaṇḍikāyāḥ pūtāyā lehavatsādhu sādhayet||67||  ṣaṭpalaṃ madhunaścātra siddhaśīte pradāpayet|  catuṣpalaṃ tugākṣīryāḥ pippalīdvipalaṃ tathā||68||  palamekaṃ nidadhyācca tvagelāpatrakeśarāt|  ityayaṃ cyavanaprāśaḥ paramukto rasāyanaḥ||69||  kāsaśvāsaharaścaiva viśeṣeṇopadiśyate|  kṣīṇakṣatānāṃ vṛddhānāṃ bālānāṃcāṅgavardhanaḥ||70||  svarakṣayamurorogaṃ hṛdrogaṃ vātaśoṇitam|  pipāsāṃ mūtraśukrasthān doṣāṃścāpyapakarṣati||71||  asya mātrāṃprayuñjīta yoparundhyānna bhojanam|  asya prayogāccyavanaḥsuvṛddho'bhūtpunaryuvā||72||  medhāṃ smṛtiṃ kāntimanāmayatvamāyuḥprakarṣaṃ balamindriyāṇām|  strīṣu praharṣaṃ paramagnivṛddhiṃ varṇaprasādaṃpavanānulomyam||73|| rasāyanasyāsya naraḥ prayogāllabheta jīrṇo'pi kuṭīpraveśāt|  jarākṛtaṃ rūpamapāsya sarvaṃ bibharti rūpaṃ navayauvanasya||74|| (iti cyavanaprāśaḥ)|  ,"Many noble steeds, a chariot yoked to ratha-rajanya, crowded together, you all bring that one there, making the teeth of dantinam cleaner, increasing mat-ayu's strength, causing gandhiḥ to acquire a moisture of ārdratām, and making nṛpa-upāyana happy."
17, bhavanticātra yathā'marāṇāmamṛtaṃ yathā bhogavatāṃsudhā|  tathā'bhavanmaharṣīṇāṃ rasāyanavidhipurā||78|| na jarāṃ na ca daurbalyaṃ nāturyaṃ nidhanaṃ na ca|  jagmurvarṣasahasrāṇi rasāyanaparāḥ purā||79||  na kevalaṃ dīrghamihāyuraśnute rasāyanaṃ yovidhivanniṣevate|  gatiṃ sa devarṣiniṣevitāṃ śubhāṃ prapadyate brahma tatheti cākṣayam||80||  ,"Oh, those who can be easily attained, the givers of cows and grains, like uninvited guests, consider them as your own wealth, securing your well-being. Those who have been like uninvited guests, seeking the prosperity of crops, in the past, they didn't experience aging, weakness, arrogance, or death, for they were engaged in the elixir of life. Not only do they live for a long time, but those who follow this path, serving the divine mothers of creation, attain a beautiful destination, behold, that is Brahman itself."
18, tatraślokaḥ  abhayāmalakīye'smin ṣaḍyogāḥ parikīrtitāḥ|  rasāyanānāṃ siddhānāmāyuryairanuvartate||81||  ,"In the renowned Abhayamalaki, six forms of yoga have been described as the means for achieving the elixir of success, characterized by mercy, tranquility, and protection of beings, through which the elements of earth and others nourish the embodied soul. You should engage in them."
19, ityagniveśakṛte tantre carakapratisaṃskṛtecikitsāsthānerasāyanādhyāye'bhayāmalakīyo nāma rasāyanapādaḥ prathamaḥ||1||  ,"""In the chapter on rest in the treatment section of the medical text 'Agniveśa,' the first compound medicine named 'Ayoguṇa,' created from wealth, reputation, and strength, is described as having been combined, obtained, and praised. It is desired to be used against harmful things."""
20, athātaḥ prāṇakāmīyaṃ rasāyanapādaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||  ,"Now, we will explain the means of attaining vital breaths, which has been described as the nectar-giving procedure by the revered Lord Atreya. It is through actions undertaken by oneself and others that one fully engages with such a revered and grand practice, and thus, becomes worthy of it. Come, partake in this beneficial activity."
21, bhallātakatailapātraṃ sapayaskaṃ madhukena kalkenākṣamātreṇa śatapākaṃ kuryāditi samānaṃ pūrveṇa||15||  (iti bhallātakatailam)|  ,"In the same way as previously, one should prepare the bow called 'bhallAtaka' using madhuhankA's (a type of tree) bark and a piece of metal, heating it for a hundred units of time with fire, according to some; or one should prepare it using a heated dhanuH that is already made and ready, along with the application of a kOpa(agitation)-inducing substance; this is how a man, driven by affection, causes the mAlya around his neck to resemble a command/order/injunction."
