id,sloka,translation
1.0,श्रियः कुरूणामधिपस्य पालनीं प्रजासु वृत्तिं यमयुङ्क्त वेदितुम् । स वर्णिलिङ्गी विदितः समाययौ युधिष्ठिरं द्वैतवने वनेचरः ॥१॥,"The forester, already known as the follower of varnashrama, came to Yudhishthira in the Dwaitavana forest to teach him the duty of protecting and maintaining the subjects, the dharma of the rulers of the Kuru dynasty."
2.0,कृतप्रणामस्य महीं महीभुजे जितां सपत्नेन निवेदयिष्यतः । न विव्यथे तस्य मनो न हि प्रियं प्रवक्तुमिच्छन्ति मृषा हितैषिणः २॥,"For the one who has paid obeisance to the earth-holder (Lord Indra), having conquered his enemy, and is about to inform (others about it), let not his mind be agitated, nor do those who wish well speak untruthfully."
3.0,द्विषां विघाताय विधातुमिच्छतो रहस्यनुज्ञामधिगम्य भूभृतः । स सौष्ठवौदार्यविशेषशालिनीं विनिश्चितार्थामिति वाचमाददे ॥३॥,"Having gained the permission to access secret knowledge for the purpose of defeating enemies, the ruler spoke with confidence and boldness.   "
4.0,क्रियासु युक्तैर्नृप चारचक्षुषो न वञ्चनीयाः प्रभवोऽनुजीविभिः । अतोऽर्हसि क्षन्तुमसाधु साधु वा हितं मनोहारि च दुर्लभं वचः॥४॥,"O king, those who are engaged in actions should not be deceptive towards the wise and the perceptive. You should tolerate whether the words of the selfish are righteous or unrighteous, for it is rare to come across a word that is both beneficial and pleasing."
5.0,स किं सखा साधु न शास्ति योऽधिपं हितान्न यः संशृणुते स किंप्रभुः। सदानुकूलेषु हि कुर्वते रतिं नृपेष्वमात्येषु च सर्वसंपदः ॥ ५ ॥,"He who does not reproach a true friend or advise the ruler for their benefit, and who is attentive to the welfare of all, always takes delight in acting favorably towards kings and ministers. What a treasure he is! (5)"
6.0,निसर्गदुर्बोधमबोधविक्लवाः क्व भूपतीनां चरितं क्व जन्तवः । तवानुभावोऽयमवेदि यन्मया निगूढतत्त्वं नयवर्त्म विद्विषाम् ॥६॥,"Where in this world are the rulers who awaken to their innate nature, distinguishing between knowledge and ignorance? Where are the beings who follow the path revealed by your manifestation of the hidden truth?"
7.0,विशङ्कमानो भवतः पराभवं नृपासनस्थोऽपि वनाधिवासिनः । दुरोदरच्छद्मजितां समीहते नयेन जेतुं जगतीं सुयोधनः ॥ ७ ॥,"Despite being a forest-dweller and harboring doubts, Suyodhana (Duryodhana) aspires to conquer the world using cunning tactics, even though he is seated on the throne of kings."
8.0,तथापि जिह्मः स भवज्जिगीषया तनोति शुभ्रं गुणसंपदा यशः । समुन्नयन्भूतिमनार्यसंगमाद्वरं विरोधोऽपि समं महात्मभिः ॥८॥,"Despite being crafty, he still toils for the acquisition of wealth, amassing a bright collection of virtues and fame. Overcoming even adverse circumstances and shunning base company, the noble ones consider overcoming opposition as something truly auspicious. "
9.0,कृतारिषड्वर्गजयेन मानवीमगम्यरूपां पदवीं प्रपित्सुना । विभज्य नक्तंदिवमस्ततन्द्रिणा वितन्यते तेन नयेन पौरुषम् ॥९॥,"Achieving victory over the six enemies, the noble one attains a form that is impossible to be reached by ordinary people. By dividing his time between night and day, he cultivates his character through this approach. (Translation of Sanskrit verse 9 from Vairagya Shatakam)"
10.0,सखीनिव प्रीतियुजोऽनुजीविनः समानमानान्सुहृदश्च बन्धुभिः । स संततं दर्शयते गतस्मयः कृताधिपत्यामिव साधु बन्धुताम् ॥१०॥,"One who lives joyfully with friends, treats everyone equally, is affectionate to companions, and shows constant, genuine benevolence towards relatives, as if they were well-established in their roles—such a person truly embodies the ideal of good friendship."
11.0,असक्तमाराधयतो यथायथं विभज्य भक्त्या समपक्षपातया । गुणानुरागादिव सख्यमीयिवान्न बाधतेऽस्य त्रिगणः परस्परम् ११॥,"Just as one who worships the three aspects of God impartially, dividing their devotion equally and without prejudice, and forming a friendship with them due to their attraction to their respective qualities, does not disturb or create conflict among those three aspects."
12.0,निरत्ययं साम न दानवर्जितं न भूरि दानं विरहय्य सत्क्रियाम् । प्रवर्तते तस्य विशेषशालिनी गुणानुरोधेन विना न सत्क्रिया १२॥,"His conduct is never flawed, free from deceit and miserliness, and not excessively generous; such a person's conduct is specially characterized by being in accord with good qualities, and without it, there is no proper conduct. (Translation based on context)"
13.0,वस्नि वाञ्छन्न वशी न मन्युना स्वधर्म इत्येव निवृत्तकारणः । गुरूपदिष्टेन रिपौ सुतेऽपि वा निहन्ति दण्डेन स धर्मविप्लवम् १३॥,"One who, desiring self-control, is not overcome by anger and remains established in their own duty, even if they kill their son or a taught enemy with a weapon following their guru's instructions, they do not deviate from dharma. (13)"
